code,term,dmd,type
6259002,Hydrogen peroxide 3% solution,6259002,VMP
134460003,Irbesartan 300mg / Hydrochlorothiazide 12.5mg tablets,134460003,VMP
134461004,Irbesartan 150mg / Hydrochlorothiazide 12.5mg tablets,134461004,VMP
134463001,Telmisartan 20mg tablets,134463001,VMP
134491009,Cerivastatin 800microgram tablets,134491009,VMP
134508009,Desloratadine 5mg tablets,134508009,VMP
134510006,Montelukast 4mg chewable tablets sugar free,134510006,VMP
134517009,Amisulpride 400mg tablets,134517009,VMP
134537008,Valproic acid 500mg gastro-resistant tablets,134537008,VMP
134538003,Valproic acid 250mg gastro-resistant tablets,134538003,VMP
134567002,Amprenavir 15mg/ml oral solution sugar free,134567002,VMP
134568007,Amprenavir 150mg capsules,134568007,VMP
134570003,Amprenavir 50mg capsules,134570003,VMP
134576009,Lopinavir 400mg/5ml / Ritonavir 100mg/5ml oral solution,134576009,VMP
134577000,Lopinavir 133.3mg / Ritonavir 33.3mg capsules,134577000,VMP
134589003,Estradiol 150micrograms/dose nasal spray,134589003,VMP
134608004,Nateglinide 180mg tablets,134608004,VMP
134609007,Nateglinide 120mg tablets,134609007,VMP
134610002,Nateglinide 60mg tablets,134610002,VMP
134614006,Apomorphine 2mg sublingual tablets sugar free,134614006,VMP
134615007,Apomorphine 3mg sublingual tablets sugar free,134615007,VMP
134622004,Capecitabine 500mg tablets,134622004,VMP
134623009,Capecitabine 150mg tablets,134623009,VMP
134627005,Tegafur 100mg / Uracil 224mg capsules,134627005,VMP
134633001,Fludarabine phosphate 10mg tablets,134633001,VMP
134636009,Topotecan 1mg powder for solution for infusion vials,134636009,VMP
134640000,Sirolimus 1mg/ml oral solution sugar free,134640000,VMP
134645005,Ferrous fumarate 322mg / Folic acid 350microgram tablets,134645005,VMP
134737005,Imiglucerase 400unit powder for solution for infusion vials,134737005,VMP
134748003,Dexamethasone 0.1% / Tobramycin 0.3% eye drops,134748003,VMP
134784005,Terbinafine 1% cream,134784005,VMP
134786007,Bifonazole 1% cream,134786007,VMP
134795004,Diclofenac sodium 3% gel,134795004,VMP
134806003,Fentanyl 1.6mg lozenges,134806003,VMP
134807007,Fentanyl 1.2mg lozenges,134807007,VMP
134808002,Fentanyl 800microgram lozenges,134808002,VMP
134809005,Fentanyl 600microgram lozenges,134809005,VMP
134810000,Fentanyl 400microgram lozenges,134810000,VMP
134812008,Fentanyl 200microgram lozenges,134812008,VMP
135588001,Benzocaine 10% dental gel sugar free,135588001,VMP
135589009,Benzocaine 20% dental gel sugar free,135589009,VMP
135749001,Potassium iodate 85mg tablets,135749001,VMP
135908006,Sodium picosulfate 2.5mg capsules,135908006,VMP
136228006,Porfimer sodium 15mg powder for solution for injection vials,136228006,VMP
136229003,Porfimer sodium 75mg powder for solution for injection vials,136229003,VMP
316933007,Aluminium hydroxide 500mg chewable tablets,316933007,VMP
316937008,Aluminium hydroxide 475mg capsules,316937008,VMP
316953006,Sodium bicarbonate 600mg tablets,316953006,VMP
316954000,Sodium bicarbonate 500mg capsules,316954000,VMP
316960000,Hydrotalcite 500mg/5ml oral suspension,316960000,VMP
316963003,Co-magaldrox 300mg/600mg tablets,316963003,VMP
316964009,Co-magaldrox 195mg/220mg/5ml oral suspension sugar free,316964009,VMP
316965005,Co-magaldrox 300mg/600mg/5ml oral suspension sugar free,316965005,VMP
316968007,Simeticone 40mg/ml oral suspension sugar free,316968007,VMP
317084000,Atropine 600microgram tablets,317084000,VMP
317108001,Dicycloverine 20mg tablets,317108001,VMP
317109009,Dicycloverine 10mg tablets,317109009,VMP
317110004,Dicycloverine 10mg/5ml oral solution,317110004,VMP
317117001,Hyoscine butylbromide 10mg tablets,317117001,VMP
317139004,Propantheline bromide 15mg tablets,317139004,VMP
317145007,Alverine 120mg capsules,317145007,VMP
317147004,Sterculia 62% / Alverine 0.5% granules,317147004,VMP
317148009,Alverine 60mg capsules,317148009,VMP
317156007,Mebeverine 100mg tablets,317156007,VMP
317160005,Ispaghula husk 3.5g / Mebeverine 135mg efferv gran sach SF,317160005,VMP
317161009,Mebeverine 135mg tablets,317161009,VMP
317196009,Cimetidine 400mg effervescent tablets sugar free,317196009,VMP
317222006,Cimetidine 200mg tablets,317222006,VMP
317223001,Cimetidine 400mg tablets,317223001,VMP
317224007,Cimetidine 800mg tablets,317224007,VMP
