description,code_type,code_new
ACUTE EXACERBATION OF CHRONIC OBSTRUCTIVE AIRWA,aurmedcode,au_301453013
ACUTE EXACERBATION OF CHRONIC OBSTRUCTIVE AIRWA,conceptid,co_195951007
ACUTE EXACERBATION OF CHRONIC OBSTRUCTIVE AIRWA,medcode,me_1446
ACUTE EXACERBATION OF CHRONIC OBSTRUCTIVE AIRWA,readv2_5,re_H3122
ACUTE EXACERBATION OF CHRONIC OBSTRUCTIVE AIRWA,readv2_7,re_H312200
ACUTE EXACERBATION OF COAD,ctv3,ct_Y106q
"CHR OBS PULM DIS+AC EXAC,UNSPC",ctv3,ct_YMAjE
CHR OBS PULM DIS+AC L RESP INF,ctv3,ct_YMAjF
CHR OBSTRUC PULMONARY DIS NOS,ctv3,ct_Yadv5
CHR. AIRWAY OBSTRUCTION NOS,conceptid,co_13645005
CHR. AIRWAY OBSTRUCTION NOS,readv2_5,re_H3...
CHR. AIRWAY OBSTRUCTION NOS,readv2_5,re_H3z..
CHRON OBSTRUC PULMON DISEASE,ctv3,ct_Y106W
CHRON OBSTRUCT PULMONARY DIS WTH ACUTE EXACERBA,aurmedcode,au_553211000006119
CHRON OBSTRUCT PULMONARY DIS WTH ACUTE EXACERBA,medcode,me_7884
CHRON OBSTRUCT PULMONARY DIS WTH ACUTE EXACERBA,readv2_5,re_H3y1.
CHRON OBSTRUCT PULMONARY DIS WTH ACUTE EXACERBA,readv2_7,re_H3y1.00
CHRONIC OBSTR.AIRWAY DIS.NOS,ctv3,ct_Y106h
CHRONIC OBSTR.AIRWAY DIS.OS,ctv3,ct_Y106g
CHRONIC OBSTRUCT PULMONARY DIS WITH ACUTE LOWER,aurmedcode,au_555461000006119
CHRONIC OBSTRUCT PULMONARY DIS WITH ACUTE LOWER,conceptid,co_196001008
CHRONIC OBSTRUCT PULMONARY DIS WITH ACUTE LOWER,medcode,me_21061
CHRONIC OBSTRUCT PULMONARY DIS WITH ACUTE LOWER,readv2_5,re_H3y0.
CHRONIC OBSTRUCT PULMONARY DIS WITH ACUTE LOWER,readv2_7,re_H3y0.00
CHRONIC OBSTRUCTIVE AIRWAYS DISEASE,aurmedcode,au_555471000006114
CHRONIC OBSTRUCTIVE AIRWAYS DISEASE,medcode,me_998
CHRONIC OBSTRUCTIVE AIRWAYS DISEASE,readv2_7,re_H3...11
CHRONIC OBSTRUCTIVE AIRWAYS DISEASE NOS,aurmedcode,au_301545019
CHRONIC OBSTRUCTIVE AIRWAYS DISEASE NOS,conceptid,co_155585005
CHRONIC OBSTRUCTIVE AIRWAYS DISEASE NOS,conceptid,co_155617000
CHRONIC OBSTRUCTIVE AIRWAYS DISEASE NOS,medcode,me_5710
CHRONIC OBSTRUCTIVE AIRWAYS DISEASE NOS,readv2_7,re_H3z..00
CHRONIC OBSTRUCTIVE LUNG DIS,ctv3,ct_Y106U
CHRONIC OBSTRUCTIVE PULMONARY DISEASE,aurmedcode,au_475431013
CHRONIC OBSTRUCTIVE PULMONARY DISEASE,medcode,me_1001
