description,code_type,code_new
ABORTIVE PREG.+SEPTICAEMIA NOS,ctv3,ct_Y40p1
BACTERIAL ARTHRITIS,conceptid,co_48245008
E.COLI SEPTICAEMIA,conceptid,co_447899008
E.COLI SEPTICAEMIA,readv2_5,re_A3842
ESCHERICHIA COLI SEPTICAEMIA,aurmedcode,au_510257017
ESCHERICHIA COLI SEPTICAEMIA,ctv3,ct_Y71Mx
ESCHERICHIA COLI SEPTICAEMIA,medcode,me_10872
ESCHERICHIA COLI SEPTICAEMIA,readv2_7,re_A384200
GRAM NEGATIVE SEPTICAEMIA NOS,conceptid,co_449082003
INDUCED TERMINATION OF PREGNANCY COMPLICATED,conceptid,co_609485004
MAJOR PUERPERAL INFECTION,conceptid,co_2858002
MAJOR PUERPERAL INFECTION,readv2_5,re_L40..
MENINGOCOCCAL SEPTICAEMIA,aurmedcode,au_492822016
MENINGOCOCCAL SEPTICAEMIA,conceptid,co_154308000
MENINGOCOCCAL SEPTICAEMIA,conceptid,co_4089001
MENINGOCOCCAL SEPTICAEMIA,ctv3,ct_Y71NA
MENINGOCOCCAL SEPTICAEMIA,medcode,me_1703
MENINGOCOCCAL SEPTICAEMIA,readv2_5,re_A362.
MENINGOCOCCAL SEPTICAEMIA,readv2_7,re_A362.00
OTHER SPECIFIED SEPSIS,aurmedcode,au_181479100000611
OTHER SPECIFIED SEPSIS,conceptid,co_91302008
OTHER SPECIFIED SEPSIS,ctv3,ct_Yauvp
OTHER SPECIFIED SEPSIS,medcode,me_104150
OTHER SPECIFIED SEPSIS,readv2_5,re_A3Cy.
OTHER SPECIFIED SEPSIS,readv2_7,re_A3Cy.00
OTHER STREPTOCOCCAL SEPSIS,conceptid,co_448418006
PASTEURELLA SEPTIC INFECTION,conceptid,co_186327003
PASTEURELLA SEPTIC INFECTION,ctv3,ct_Y71Mb
PASTEURELLA SEPTIC INFECTION (CAT OR DOG BITE,aurmedcode,au_286410013
PASTEURELLA SEPTIC INFECTION (CAT OR DOG BITE,medcode,me_57743
PASTEURELLA SEPTIC INFECTION (CAT OR DOG BITE,readv2_5,re_A2721
PASTEURELLA SEPTIC INFECTION (CAT OR DOG BITE,readv2_7,re_A272100
PSEUDOMONAS SEPTICAEMIA,aurmedcode,au_1217028013
PSEUDOMONAS SEPTICAEMIA,conceptid,co_448813005
PSEUDOMONAS SEPTICAEMIA,conceptid,co_86011004
PSEUDOMONAS SEPTICAEMIA,ctv3,ct_Y71Mz
PSEUDOMONAS SEPTICAEMIA,medcode,me_12400
PSEUDOMONAS SEPTICAEMIA,readv2_5,re_A3843
PSEUDOMONAS SEPTICAEMIA,readv2_7,re_A384300
PUERPERAL SEPSIS,ctv3,ct_Y417j
PYOGENIC ARTHRITIS,readv2_5,re_N010.
SALMONELLA SEPSIS,conceptid,co_449083008
SALMONELLA SEPTICAEMIA,aurmedcode,au_495504016
SALMONELLA SEPTICAEMIA,ctv3,ct_Y71N8
SALMONELLA SEPTICAEMIA,medcode,me_18809
SALMONELLA SEPTICAEMIA,readv2_5,re_A021.
SALMONELLA SEPTICAEMIA,readv2_7,re_A021.00
SEPSIS,aurmedcode,au_151281010
SEPSIS,aurmedcode,au_181460100000611
SEPSIS,conceptid,co_186392004
SEPSIS,ctv3,ct_Y721A
SEPSIS,medcode,me_104028
SEPSIS,medcode,me_2136
SEPSIS,readv2_5,re_A38z.
SEPSIS,readv2_5,re_A3C..
SEPSIS,readv2_7,re_A38z.11
SEPSIS,readv2_7,re_A3C..00
SEPSIS - PUERPERAL,aurmedcode,au_148801000006117
SEPSIS - PUERPERAL,ctv3,ct_Y417l
SEPSIS - PUERPERAL,medcode,me_11690
SEPSIS - PUERPERAL,readv2_7,re_L40..11
SEPSIS DUE ANAEROBIC BACTERIA,ctv3,ct_Yauvj
SEPSIS DUE ANAEROBIC BACTERIUM,ctv3,ct_Yav0K
SEPSIS DUE TO ANAEROBES,aurmedcode,au_181474100000611
SEPSIS DUE TO ANAEROBES,conceptid,co_447843005
SEPSIS DUE TO ANAEROBES,ctv3,ct_Yauvk
SEPSIS DUE TO ANAEROBES,medcode,me_104633
SEPSIS DUE TO ANAEROBES,readv2_5,re_A3C2.
SEPSIS DUE TO ANAEROBES,readv2_7,re_A3C2.11
SEPSIS DUE TO ANAEROBIC BACTERIA,aurmedcode,au_2901598017
SEPSIS DUE TO ANAEROBIC BACTERIA,medcode,me_105102
SEPSIS DUE TO ANAEROBIC BACTERIA,readv2_7,re_A3C2.00
SEPSIS DUE TO OTHER SPECIFIED STAPHYLOCOCCUS,conceptid,co_447894003
SEPSIS DUE TO STREPTOCOCCUS AGALACTIAE,conceptid,co_448419003
SEPSIS DUE TO STREPTOCOCCUS GROUP A,conceptid,co_449504009
SEPSIS DUE TO URINARY TRACT INFECTION,conceptid,co_721104000
SEPTIC ARTHRITIS,aurmedcode,au_80383012
SEPTIC ARTHRITIS,ctv3,ct_Y70Ac
