description,code_type,code_new
ACUTE BACT.PHARYNGITIS NOS,ctv3,ct_Y02V1
ACUTE BACT.TONSILLITIS NOS,ctv3,ct_Y02WN
ACUTE BACTERIAL PHARYNGITIS,aurmedcode,au_301024018
ACUTE BACTERIAL PHARYNGITIS,conceptid,co_195658003
ACUTE BACTERIAL PHARYNGITIS,ctv3,ct_Y02Uy
ACUTE BACTERIAL PHARYNGITIS,medcode,me_17899
ACUTE BACTERIAL PHARYNGITIS,readv2_5,re_H023.
ACUTE BACTERIAL PHARYNGITIS,readv2_7,re_H023.00
ACUTE BACTERIAL PHARYNGITIS NOS,aurmedcode,au_301027013
ACUTE BACTERIAL PHARYNGITIS NOS,conceptid,co_195661002
ACUTE BACTERIAL PHARYNGITIS NOS,medcode,me_53395
ACUTE BACTERIAL PHARYNGITIS NOS,readv2_5,re_H023z
ACUTE BACTERIAL PHARYNGITIS NOS,readv2_7,re_H023z00
ACUTE BACTERIAL TONSILLITIS,aurmedcode,au_301041016
ACUTE BACTERIAL TONSILLITIS,conceptid,co_195671000
ACUTE BACTERIAL TONSILLITIS,ctv3,ct_Y02WK
ACUTE BACTERIAL TONSILLITIS,medcode,me_10156
ACUTE BACTERIAL TONSILLITIS,readv2_5,re_H035.
ACUTE BACTERIAL TONSILLITIS,readv2_7,re_H035.00
ACUTE BACTERIAL TONSILLITIS NOS,aurmedcode,au_301044012
ACUTE BACTERIAL TONSILLITIS NOS,conceptid,co_195674008
ACUTE BACTERIAL TONSILLITIS NOS,medcode,me_15970
ACUTE BACTERIAL TONSILLITIS NOS,readv2_5,re_H035z
ACUTE BACTERIAL TONSILLITIS NOS,readv2_7,re_H035z00
ACUTE CATARRHAL TONSILLITIS,aurmedcode,au_301038013
ACUTE CATARRHAL TONSILLITIS,conceptid,co_195669000
ACUTE CATARRHAL TONSILLITIS,ctv3,ct_Y02WI
ACUTE CATARRHAL TONSILLITIS,medcode,me_37409
ACUTE CATARRHAL TONSILLITIS,readv2_5,re_H033.
ACUTE CATARRHAL TONSILLITIS,readv2_7,re_H033.00
ACUTE ERYTHEMATOUS TONSILLITIS,aurmedcode,au_301035011
ACUTE ERYTHEMATOUS TONSILLITIS,conceptid,co_195666007
ACUTE ERYTHEMATOUS TONSILLITIS,ctv3,ct_Y02WQ
ACUTE ERYTHEMATOUS TONSILLITIS,medcode,me_12010
ACUTE ERYTHEMATOUS TONSILLITIS,readv2_5,re_H030.
ACUTE ERYTHEMATOUS TONSILLITIS,readv2_7,re_H030.00
ACUTE FOLLICULAR TONSILLITIS,aurmedcode,au_301036012
ACUTE FOLLICULAR TONSILLITIS,conceptid,co_195667003
ACUTE FOLLICULAR TONSILLITIS,ctv3,ct_Y02WS
ACUTE FOLLICULAR TONSILLITIS,medcode,me_4061
ACUTE FOLLICULAR TONSILLITIS,readv2_5,re_H031.
ACUTE FOLLICULAR TONSILLITIS,readv2_7,re_H031.00
ACUTE NECROTIZING ULCERATIVE GINGIVITIS,conceptid,co_399050001
ACUTE NECROTIZING ULCERATIVE GINGIVOSTOMATITI,conceptid,co_173599005
ACUTE PHARYNGITIS,aurmedcode,au_486416017
ACUTE PHARYNGITIS,conceptid,co_155502006
ACUTE PHARYNGITIS,conceptid,co_27321001
ACUTE PHARYNGITIS,conceptid,co_363746003
ACUTE PHARYNGITIS,ctv3,ct_Y02Uu
ACUTE PHARYNGITIS,medcode,me_893
ACUTE PHARYNGITIS,readv2_5,re_H02..
ACUTE PHARYNGITIS,readv2_7,re_H02..00
ACUTE PHARYNGITIS NOS,aurmedcode,au_459581000006119
ACUTE PHARYNGITIS NOS,conceptid,co_195664005
ACUTE PHARYNGITIS NOS,ctv3,ct_Y02V2
ACUTE PHARYNGITIS NOS,medcode,me_407
ACUTE PHARYNGITIS NOS,readv2_5,re_H02z.
ACUTE PHARYNGITIS NOS,readv2_7,re_H02z.00
ACUTE PHLEGMONOUS PHARYNGITIS,aurmedcode,au_301022019
ACUTE PHLEGMONOUS PHARYNGITIS,conceptid,co_195656004
ACUTE PHLEGMONOUS PHARYNGITIS,ctv3,ct_Y02Uw
ACUTE PHLEGMONOUS PHARYNGITIS,medcode,me_24708
ACUTE PHLEGMONOUS PHARYNGITIS,readv2_5,re_H021.
ACUTE PHLEGMONOUS PHARYNGITIS,readv2_7,re_H021.00
ACUTE STAPHYLOCOCC.TONSILLITIS,ctv3,ct_Y02WM
ACUTE STAPHYLOCOCCAL TONSILLITIS,aurmedcode,au_301043018
ACUTE STAPHYLOCOCCAL TONSILLITIS,conceptid,co_195673002
ACUTE STAPHYLOCOCCAL TONSILLITIS,medcode,me_64973
ACUTE STAPHYLOCOCCAL TONSILLITIS,readv2_5,re_H0351
ACUTE STAPHYLOCOCCAL TONSILLITIS,readv2_7,re_H035100
ACUTE TONSILLITIS,aurmedcode,au_29982014
ACUTE TONSILLITIS,conceptid,co_155503001
ACUTE TONSILLITIS,conceptid,co_17741008
ACUTE TONSILLITIS,conceptid,co_195665006
ACUTE TONSILLITIS,ctv3,ct_Y02WG
ACUTE TONSILLITIS,medcode,me_138
ACUTE TONSILLITIS,readv2_5,re_H03..
ACUTE TONSILLITIS,readv2_7,re_H03..00
ACUTE TONSILLITIS NOS,aurmedcode,au_301049019
ACUTE TONSILLITIS NOS,conceptid,co_195678006
ACUTE TONSILLITIS NOS,ctv3,ct_Y02WP
ACUTE TONSILLITIS NOS,medcode,me_20104
ACUTE TONSILLITIS NOS,readv2_5,re_H03z.
ACUTE TONSILLITIS NOS,readv2_7,re_H03z.00
ACUTE ULCERATIVE PHARYNGITIS,aurmedcode,au_301023012
ACUTE ULCERATIVE PHARYNGITIS,conceptid,co_195657008
ACUTE ULCERATIVE PHARYNGITIS,ctv3,ct_Y02Ux
ACUTE ULCERATIVE PHARYNGITIS,medcode,me_21486
ACUTE ULCERATIVE PHARYNGITIS,readv2_5,re_H022.
ACUTE ULCERATIVE PHARYNGITIS,readv2_7,re_H022.00
ACUTE ULCERATIVE TONSILLITIS,aurmedcode,au_301037015
ACUTE ULCERATIVE TONSILLITIS,conceptid,co_195668008
ACUTE ULCERATIVE TONSILLITIS,ctv3,ct_Y02WU
ACUTE ULCERATIVE TONSILLITIS,medcode,me_8452
ACUTE ULCERATIVE TONSILLITIS,readv2_5,re_H032.
ACUTE ULCERATIVE TONSILLITIS,readv2_7,re_H032.00
ACUTE VIRAL PHARYNGITIS,conceptid,co_195662009
ACUTE VIRAL PHARYNGITIS,ctv3,ct_Y02V3
CASEOUS TONSILLITIS,aurmedcode,au_301234018
CASEOUS TONSILLITIS,conceptid,co_195803003
CASEOUS TONSILLITIS,ctv3,ct_YM0uM
CASEOUS TONSILLITIS,medcode,me_36462
