description,code_type,code_new
ACUTE BACT.LARYNGITIS UNSPEC.,ctv3,ct_Y02XT
ACUTE BACTERIAL LARYNGITIS UNSPECIFIED,aurmedcode,au_301064019
ACUTE BACTERIAL LARYNGITIS UNSPECIFIED,conceptid,co_195689004
ACUTE BACTERIAL LARYNGITIS UNSPECIFIED,conceptid,co_849571000000102
ACUTE BACTERIAL LARYNGITIS UNSPECIFIED,medcode,me_52756
ACUTE BACTERIAL LARYNGITIS UNSPECIFIED,readv2_5,re_H040x
ACUTE BACTERIAL LARYNGITIS UNSPECIFIED,readv2_7,re_H040x00
ACUTE CATARRHAL LARYNGITIS,aurmedcode,au_301054011
ACUTE CATARRHAL LARYNGITIS,conceptid,co_195682008
ACUTE CATARRHAL LARYNGITIS,ctv3,ct_Y02XO
ACUTE CATARRHAL LARYNGITIS,medcode,me_10765
ACUTE CATARRHAL LARYNGITIS,readv2_5,re_H0402
ACUTE CATARRHAL LARYNGITIS,readv2_7,re_H040200
ACUTE EDEMATOUS LARYNGITIS,conceptid,co_195680000
ACUTE EPIGLOTTITIS,conceptid,co_266337001
ACUTE EPIGLOTTITIS,conceptid,co_29608009
ACUTE EPIGLOTTITIS (NON STREP),aurmedcode,au_456591000006112
ACUTE EPIGLOTTITIS (NON STREP),ctv3,ct_Y02Xv
ACUTE EPIGLOTTITIS (NON STREP),medcode,me_10641
ACUTE EPIGLOTTITIS (NON STREP),readv2_5,re_H043.
ACUTE EPIGLOTTITIS (NON STREP),readv2_7,re_H043.00
ACUTE EPIGLOTTITIS (NON-STREP),ctv3,ct_YadWB
ACUTE EPIGLOTTITIS NOS,aurmedcode,au_301080012
ACUTE EPIGLOTTITIS NOS,conceptid,co_195701009
ACUTE EPIGLOTTITIS NOS,ctv3,ct_Y02Xy
ACUTE EPIGLOTTITIS NOS,medcode,me_892
ACUTE EPIGLOTTITIS NOS,readv2_5,re_H043z
ACUTE EPIGLOTTITIS NOS,readv2_7,re_H043z00
ACUTE EPIGLOTTITIS WITHOUT OBSTRUCTION,aurmedcode,au_83125011
ACUTE EPIGLOTTITIS WITHOUT OBSTRUCTION,conceptid,co_195699009
ACUTE EPIGLOTTITIS WITHOUT OBSTRUCTION,conceptid,co_49908003
ACUTE EPIGLOTTITIS WITHOUT OBSTRUCTION,medcode,me_65650
ACUTE EPIGLOTTITIS WITHOUT OBSTRUCTION,readv2_5,re_H0430
ACUTE EPIGLOTTITIS WITHOUT OBSTRUCTION,readv2_7,re_H043000
ACUTE EPIGLOTTITIS+NO OBSTRUCT,ctv3,ct_Y02Xw
ACUTE LARYNGITIS,aurmedcode,au_12028011
ACUTE LARYNGITIS,conceptid,co_155506009
ACUTE LARYNGITIS,conceptid,co_6655004
ACUTE LARYNGITIS,ctv3,ct_Y02XN
ACUTE LARYNGITIS,medcode,me_142
ACUTE LARYNGITIS,readv2_5,re_H040.
ACUTE LARYNGITIS,readv2_7,re_H040.00
ACUTE LARYNGITIS AND TRACHEITIS,aurmedcode,au_412576019
ACUTE LARYNGITIS AND TRACHEITIS,conceptid,co_155505008
ACUTE LARYNGITIS AND TRACHEITIS,conceptid,co_195679003
ACUTE LARYNGITIS AND TRACHEITIS,conceptid,co_276443001
ACUTE LARYNGITIS AND TRACHEITIS,medcode,me_41324
ACUTE LARYNGITIS AND TRACHEITIS,readv2_5,re_H04..
ACUTE LARYNGITIS AND TRACHEITIS,readv2_7,re_H04..00
ACUTE LARYNGITIS AND TRACHEITIS NOS,aurmedcode,au_301082016
