description,code_type,code_new
ACUTE BILATERAL OTITIS MEDIA,aurmedcode,au_299073014
ACUTE BILATERAL OTITIS MEDIA,conceptid,co_194290005
ACUTE BILATERAL OTITIS MEDIA,ctv3,ct_YaYAJ
ACUTE BILATERAL OTITIS MEDIA,medcode,me_1134
ACUTE BILATERAL OTITIS MEDIA,readv2_5,re_F528.
ACUTE BILATERAL OTITIS MEDIA,readv2_7,re_F528.00
ACUTE LEFT OTITIS MEDIA,aurmedcode,au_299071011
ACUTE LEFT OTITIS MEDIA,conceptid,co_194288009
ACUTE LEFT OTITIS MEDIA,ctv3,ct_YaYAH
ACUTE LEFT OTITIS MEDIA,medcode,me_3694
ACUTE LEFT OTITIS MEDIA,readv2_5,re_F526.
ACUTE LEFT OTITIS MEDIA,readv2_7,re_F526.00
ACUTE MUCOID OTITIS MEDIA,aurmedcode,au_87124011
ACUTE MUCOID OTITIS MEDIA,conceptid,co_52353000
ACUTE MUCOID OTITIS MEDIA,ctv3,ct_YMK52
ACUTE MUCOID OTITIS MEDIA,medcode,me_21012
ACUTE MUCOID OTITIS MEDIA,readv2_5,re_F5102
ACUTE MUCOID OTITIS MEDIA,readv2_7,re_F510200
ACUTE NON SUPPURATIVE OTITIS MEDIA,aurmedcode,au_458531000006114
ACUTE NON SUPPURATIVE OTITIS MEDIA,conceptid,co_359609001
ACUTE NON SUPPURATIVE OTITIS MEDIA,medcode,me_5887
ACUTE NON SUPPURATIVE OTITIS MEDIA,readv2_5,re_F510.
ACUTE NON SUPPURATIVE OTITIS MEDIA,readv2_7,re_F510.00
ACUTE NON-SUP OTITIS MEDIA NOS,ctv3,ct_YadUv
"ACUTE NON-SUPP OM, BLOODY",ctv3,ct_Y02KP
"ACUTE NON-SUPP OTIT MED,MUCOID",ctv3,ct_Y02KK
"ACUTE NON-SUPP OTIT MED,SANG",ctv3,ct_Y02KO
"ACUTE NON-SUPP OTIT MED,SEROUS",ctv3,ct_Y02KM
ACUTE NON-SUPPURAT OTIT MEDIA,ctv3,ct_YadU8
ACUTE NONSUPPURATIVE OTITIS MEDIA NOS,aurmedcode,au_458581000006110
ACUTE NONSUPPURATIVE OTITIS MEDIA NOS,medcode,me_20374
ACUTE NONSUPPURATIVE OTITIS MEDIA NOS,readv2_5,re_F510z
ACUTE NONSUPPURATIVE OTITIS MEDIA NOS,readv2_7,re_F510z00
ACUTE OTIT MEDIA WITH EFFUSION,ctv3,ct_Y02KE
ACUTE OTITIS MEDIA WITH EFFUSION,aurmedcode,au_58707018
ACUTE OTITIS MEDIA WITH EFFUSION,conceptid,co_270490007
ACUTE OTITIS MEDIA WITH EFFUSION,medcode,me_18371
ACUTE OTITIS MEDIA WITH EFFUSION,readv2_5,re_F5100
ACUTE OTITIS MEDIA WITH EFFUSION,readv2_7,re_F510000
ACUTE RIGHT OTITIS MEDIA,aurmedcode,au_299072016
ACUTE RIGHT OTITIS MEDIA,conceptid,co_194289001
ACUTE RIGHT OTITIS MEDIA,ctv3,ct_YaYAI
ACUTE RIGHT OTITIS MEDIA,medcode,me_4348
ACUTE RIGHT OTITIS MEDIA,readv2_5,re_F527.
ACUTE RIGHT OTITIS MEDIA,readv2_7,re_F527.00
ACUTE SANGUINOUS OTITIS MEDIA,aurmedcode,au_128622017
ACUTE SANGUINOUS OTITIS MEDIA,conceptid,co_77478005
ACUTE SANGUINOUS OTITIS MEDIA,ctv3,ct_YMK53
ACUTE SANGUINOUS OTITIS MEDIA,medcode,me_15973
ACUTE SANGUINOUS OTITIS MEDIA,readv2_5,re_F5103
ACUTE SANGUINOUS OTITIS MEDIA,readv2_7,re_F510300
ACUTE SECRETORY OTITIS MEDIA,aurmedcode,au_473798017
ACUTE SECRETORY OTITIS MEDIA,ctv3,ct_Y02KF
ACUTE SECRETORY OTITIS MEDIA,medcode,me_5148
ACUTE SECRETORY OTITIS MEDIA,readv2_7,re_F510011
ACUTE SEROUS OTITIS MEDIA,aurmedcode,au_299014013
ACUTE SEROUS OTITIS MEDIA,conceptid,co_11957006
ACUTE SEROUS OTITIS MEDIA,conceptid,co_194240006
ACUTE SEROUS OTITIS MEDIA,ctv3,ct_YMK51
ACUTE SEROUS OTITIS MEDIA,medcode,me_7730
ACUTE SEROUS OTITIS MEDIA,readv2_5,re_F5101
ACUTE SEROUS OTITIS MEDIA,readv2_7,re_F510100
ACUTE SUPP OT MED TM RUPTURED,ctv3,ct_Y02KB
ACUTE SUPP OTIT MED TM INTACT,ctv3,ct_Y02KA
ACUTE SUPP. OTITIS MEDIA NOS,ctv3,ct_Y02K9
ACUTE SUPP.OTIT.MED.+DISEAS.EC,ctv3,ct_Y02K8
ACUTE SUPPURATIVE OTITIS MEDIA,aurmedcode,au_299061014
ACUTE SUPPURATIVE OTITIS MEDIA,conceptid,co_155226009
ACUTE SUPPURATIVE OTITIS MEDIA,conceptid,co_194281003
ACUTE SUPPURATIVE OTITIS MEDIA,conceptid,co_42337005
ACUTE SUPPURATIVE OTITIS MEDIA,ctv3,ct_Y02K6
ACUTE SUPPURATIVE OTITIS MEDIA,medcode,me_2137
ACUTE SUPPURATIVE OTITIS MEDIA,readv2_5,re_F520.
ACUTE SUPPURATIVE OTITIS MEDIA,readv2_7,re_F520.00
ACUTE SUPPURATIVE OTITIS MEDIA DUE TO ANOTHER D,conceptid,co_194282005
ACUTE SUPPURATIVE OTITIS MEDIA DUE TO DISEASE E,aurmedcode,au_299065017
ACUTE SUPPURATIVE OTITIS MEDIA DUE TO DISEASE E,medcode,me_61497
ACUTE SUPPURATIVE OTITIS MEDIA DUE TO DISEASE E,readv2_5,re_F5203
ACUTE SUPPURATIVE OTITIS MEDIA DUE TO DISEASE E,readv2_7,re_F520300
ACUTE SUPPURATIVE OTITIS MEDIA NOS,aurmedcode,au_299066016
ACUTE SUPPURATIVE OTITIS MEDIA NOS,conceptid,co_194283000
ACUTE SUPPURATIVE OTITIS MEDIA NOS,medcode,me_20372
ACUTE SUPPURATIVE OTITIS MEDIA NOS,readv2_5,re_F520z
ACUTE SUPPURATIVE OTITIS MEDIA NOS,readv2_7,re_F520z00
ACUTE SUPPURATIVE OTITIS MEDIA TYMPANIC MEMBRAN,aurmedcode,au_460541000006114
ACUTE SUPPURATIVE OTITIS MEDIA TYMPANIC MEMBRAN,aurmedcode,au_460551000006111
ACUTE SUPPURATIVE OTITIS MEDIA TYMPANIC MEMBRAN,conceptid,co_14948001
ACUTE SUPPURATIVE OTITIS MEDIA TYMPANIC MEMBRAN,conceptid,co_86279000
ACUTE SUPPURATIVE OTITIS MEDIA TYMPANIC MEMBRAN,medcode,me_10781
ACUTE SUPPURATIVE OTITIS MEDIA TYMPANIC MEMBRAN,medcode,me_20669
ACUTE SUPPURATIVE OTITIS MEDIA TYMPANIC MEMBRAN,readv2_5,re_F5200
ACUTE SUPPURATIVE OTITIS MEDIA TYMPANIC MEMBRAN,readv2_5,re_F5201
ACUTE SUPPURATIVE OTITIS MEDIA TYMPANIC MEMBRAN,readv2_7,re_F520000
ACUTE SUPPURATIVE OTITIS MEDIA TYMPANIC MEMBRAN,readv2_7,re_F520100
AERO-OTITIS MEDIA,aurmedcode,au_82051019
AERO-OTITIS MEDIA,conceptid,co_212944003
AERO-OTITIS MEDIA,conceptid,co_49252004
AERO-OTITIS MEDIA,ctv3,ct_Y738m
AERO-OTITIS MEDIA,medcode,me_46709
AERO-OTITIS MEDIA,readv2_5,re_SN30.
AERO-OTITIS MEDIA,readv2_7,re_SN30.11
"BAROTRAUMA, OTITIC",ctv3,ct_Y738l
BILATERAL SUPP OTITIS MEDIA,ctv3,ct_YaYAG
BILATERAL SUPPURATIVE OTITIS MEDIA,aurmedcode,au_299069011
BILATERAL SUPPURATIVE OTITIS MEDIA,conceptid,co_194286008
BILATERAL SUPPURATIVE OTITIS MEDIA,medcode,me_20871
BILATERAL SUPPURATIVE OTITIS MEDIA,readv2_5,re_F5240
BILATERAL SUPPURATIVE OTITIS MEDIA,readv2_7,re_F524000
BLEEDING FROM EAR,conceptid,co_26322001
CATARRH - EUSTACHIAN,aurmedcode,au_399840017
CATARRH - EUSTACHIAN,conceptid,co_155223001
CATARRH - EUSTACHIAN,conceptid,co_267756004
CATARRH - EUSTACHIAN,ctv3,ct_YM1jk
CATARRH - EUSTACHIAN,medcode,me_7479
CATARRH - EUSTACHIAN,readv2_5,re_F515.
CATARRH - EUSTACHIAN,readv2_7,re_F515.11
CATARRHAL OTITIS MEDIA,conceptid,co_29350000
CATARRHAL OTITIS MEDIA NOS,aurmedcode,au_299041015
CATARRHAL OTITIS MEDIA NOS,conceptid,co_194263001
CATARRHAL OTITIS MEDIA NOS,ctv3,ct_Y02K1
CATARRHAL OTITIS MEDIA NOS,medcode,me_5390
CATARRHAL OTITIS MEDIA NOS,readv2_5,re_F5142
CATARRHAL OTITIS MEDIA NOS,readv2_7,re_F514200
CHR SECRETORY OT MED -PURULENT,ctv3,ct_Y02L7
