description,code_type,code_new
1ST PAN FLU VAC OTHR HLTH PROV,ctv3,ct_YasaI
1ST PANDEMIC INFLUENZA VACC GIVE BY OTHER HEA,medcode,me_98217
1ST PANDEMIC INFLUENZA VACC GIVE BY OTHER HEA,readv2_5,re_65E3.
1ST PANDEMIC INFLUENZA VACC GIVE BY OTHER HEA,readv2_7,re_65E3.00
2ND PAN FLU VAC OTHR HLTH PROV,ctv3,ct_YasaL
2ND PANDEMIC INFLUENZA VACC GIVE BY OTHER HEA,medcode,me_98306
2ND PANDEMIC INFLUENZA VACC GIVE BY OTHER HEA,readv2_5,re_65E4.
2ND PANDEMIC INFLUENZA VACC GIVE BY OTHER HEA,readv2_7,re_65E4.00
BOOSTER PNEUMOCOCCAL VACCINATION,aurmedcode,au_1488400017
BOOSTER PNEUMOCOCCAL VACCINATION,conceptid,co_393017007
BOOSTER PNEUMOCOCCAL VACCINATION,conceptid,co_393973001
BOOSTER PNEUMOCOCCAL VACCINATION,conceptid,co_394678003
BOOSTER PNEUMOCOCCAL VACCINATION,medcode,me_53198
BOOSTER PNEUMOCOCCAL VACCINATION,readv2_5,re_657K.
BOOSTER PNEUMOCOCCAL VACCINATION,readv2_7,re_657K.00
BOOSTER PNEUMOCOCCAL VACCINATN,ctv3,ct_Yal9L
CELVAPAN - 1ST FLU A (H1N1V) 2009 VACC BY OTH,medcode,me_98449
CELVAPAN - 1ST FLU A (H1N1V) 2009 VACC BY OTH,readv2_5,re_65E7.
CELVAPAN - 1ST FLU A (H1N1V) 2009 VACC BY OTH,readv2_7,re_65E7.00
CELVAPAN - 2ND FLU A (H1N1V) 2009 VACC BY OTH,medcode,me_98303
CELVAPAN - 2ND FLU A (H1N1V) 2009 VACC BY OTH,readv2_5,re_65E8.
CELVAPAN - 2ND FLU A (H1N1V) 2009 VACC BY OTH,readv2_7,re_65E8.00
CELVAPAN - SECOND INFLUENZA A (H1N1V) 2009 VA,medcode,me_98302
CELVAPAN - SECOND INFLUENZA A (H1N1V) 2009 VA,readv2_5,re_65E6.
CELVAPAN - SECOND INFLUENZA A (H1N1V) 2009 VA,readv2_7,re_65E6.00
CLVPN - 2ND FLU A (H1N1V)09 VA,ctv3,ct_YatG5
CN - 1 FLUA (H1N1V)09 VA OT PR,ctv3,ct_YatG8
CN - 2 FLUA (H1N1V)09 VA OT PR,ctv3,ct_YatG9
FLU VACCINATION ADMINISTRATION,aurmedcode,au_17131000000110
FLU VACCINATION ADMINISTRATION,conceptid,co_714801000000104
FLU VACCINATION ADMINISTRATION,ctv3,ct_Y7ATC
FLU VACCINATION ADMINISTRATION,medcode,me_12104
FLU VACCINATION ADMINISTRATION,readv2_5,re_9OX..
FLU VACCINATION ADMINISTRATION,readv2_7,re_9OX..11
HAS 'FLU VACCINATION AT HOME,aurmedcode,au_285858017
HAS 'FLU VACCINATION AT HOME,conceptid,co_185900003
HAS 'FLU VACCINATION AT HOME,ctv3,ct_Y7ATD
HAS 'FLU VACCINATION AT HOME,medcode,me_18330
HAS 'FLU VACCINATION AT HOME,readv2_5,re_9OX1.
HAS 'FLU VACCINATION AT HOME,readv2_7,re_9OX1.00
HAS 'FLU VACCINATION AT HOSP.,aurmedcode,au_816791000006117
HAS 'FLU VACCINATION AT HOSP.,conceptid,co_185902006
HAS 'FLU VACCINATION AT HOSP.,ctv3,ct_Y7ATF
HAS 'FLU VACCINATION AT HOSP.,medcode,me_18684
HAS 'FLU VACCINATION AT HOSP.,readv2_5,re_9OX3.
HAS 'FLU VACCINATION AT HOSP.,readv2_7,re_9OX3.00
HAS INFLUENZA VACC AT HOSPITAL,ctv3,ct_YacuA
HAS INFLUENZA VACC AT WORK,ctv3,ct_Yane0
HAS INFLUENZA VACCINATION AT SURGERY,conceptid,co_185901004
HAS INFLUENZA VACCINATION AT WORK,aurmedcode,au_2549468013
HAS INFLUENZA VACCINATION AT WORK,conceptid,co_416928007
HAS INFLUENZA VACCINATION AT WORK,medcode,me_32942
HAS INFLUENZA VACCINATION AT WORK,readv2_5,re_9OX8.
HAS INFLUENZA VACCINATION AT WORK,readv2_7,re_9OX8.00
HAS'FLU VACCINATION AT SURGERY,aurmedcode,au_285859013
HAS'FLU VACCINATION AT SURGERY,ctv3,ct_Y7ATE
HAS'FLU VACCINATION AT SURGERY,medcode,me_44555
HAS'FLU VACCINATION AT SURGERY,readv2_5,re_9OX2.
HAS'FLU VACCINATION AT SURGERY,readv2_7,re_9OX2.00
INFLUENZA VACC OTHR HLTH PROV,ctv3,ct_YascW
INFLUENZA VACC. ADMINISTRATN.,aurmedcode,au_17111000000119
INFLUENZA VACC. ADMINISTRATN.,conceptid,co_154075009
INFLUENZA VACC. ADMINISTRATN.,ctv3,ct_Y7ATB
INFLUENZA VACC. ADMINISTRATN.,medcode,me_9039
INFLUENZA VACC. ADMINISTRATN.,readv2_7,re_9OX..00
INFLUENZA VACCINATION,aurmedcode,au_142934010
INFLUENZA VACCINATION,aurmedcode,au_924501000006111
INFLUENZA VACCINATION,conceptid,co_147615002
INFLUENZA VACCINATION,conceptid,co_86198006
INFLUENZA VACCINATION,conceptid,co_924501000006107
INFLUENZA VACCINATION,ctv3,ct_Y79Uo
INFLUENZA VACCINATION,medcode,me_6
INFLUENZA VACCINATION,readv2_5,re_65E..
INFLUENZA VACCINATION,readv2_7,re_65E..00
INFLUENZA VACCINATION GIVEN BY OTHER HEALTHCA,aurmedcode,au_753841000000112
INFLUENZA VACCINATION GIVEN BY OTHER HEALTHCA,medcode,me_97941
INFLUENZA VACCINATION GIVEN BY OTHER HEALTHCA,readv2_5,re_65E2.
INFLUENZA VACCINATION GIVEN BY OTHER HEALTHCA,readv2_7,re_65E2.00
PANDEMRIX - 1ST FLU A (H1N1V) 2009 VAC BY OTH,medcode,me_98203
PANDEMRIX - 1ST FLU A (H1N1V) 2009 VAC BY OTH,readv2_5,re_65EB.
PANDEMRIX - 1ST FLU A (H1N1V) 2009 VAC BY OTH,readv2_7,re_65EB.00
PANDEMRIX - 2ND FLU A (H1N1V) 2009 VAC BY OTH,medcode,me_98304
PANDEMRIX - 2ND FLU A (H1N1V) 2009 VAC BY OTH,readv2_5,re_65EC.
PANDEMRIX - 2ND FLU A (H1N1V) 2009 VAC BY OTH,readv2_7,re_65EC.00
PANDEMRIX - FIRST INFLUENZA A (H1N1V) 2009 VA,medcode,me_98183
PANDEMRIX - FIRST INFLUENZA A (H1N1V) 2009 VA,readv2_5,re_65E9.
PANDEMRIX - FIRST INFLUENZA A (H1N1V) 2009 VA,readv2_7,re_65E9.00
PANDEMRIX - SECOND INFLUENZA A (H1N1V) 2009 V,medcode,me_98184
PANDEMRIX - SECOND INFLUENZA A (H1N1V) 2009 V,readv2_5,re_65EA.
PANDEMRIX - SECOND INFLUENZA A (H1N1V) 2009 V,readv2_7,re_65EA.00
PNDMRX - 1ST FLUA (H1N1V)09 VA,ctv3,ct_YatG6
PNDMRX - 2ND FLUA (H1N1V)09 VA,ctv3,ct_YatG7
PNEUM VACC OTHR HEALTH PROVIDR,ctv3,ct_Yasca
PNEUMOCOCCAL VACCINATION,aurmedcode,au_22068011
PNEUMOCOCCAL VACCINATION,aurmedcode,au_924191000006111
PNEUMOCOCCAL VACCINATION,conceptid,co_12866006
PNEUMOCOCCAL VACCINATION,conceptid,co_147575001
PNEUMOCOCCAL VACCINATION,conceptid,co_924191000006107
PNEUMOCOCCAL VACCINATION,ctv3,ct_Y79UD
PNEUMOCOCCAL VACCINATION,medcode,me_11363
PNEUMOCOCCAL VACCINATION,readv2_5,re_6572.
PNEUMOCOCCAL VACCINATION,readv2_7,re_6572.00
PNEUMOCOCCAL VACCINATION ADMIN,ctv3,ct_YanUX
PNEUMOCOCCAL VACCINATION ADMINISTRATION,aurmedcode,au_226891000000115
PNEUMOCOCCAL VACCINATION ADMINISTRATION,conceptid,co_714821000000108
PNEUMOCOCCAL VACCINATION ADMINISTRATION,medcode,me_30411
PNEUMOCOCCAL VACCINATION ADMINISTRATION,readv2_5,re_9Oo..
PNEUMOCOCCAL VACCINATION ADMINISTRATION,readv2_7,re_9Oo..00
PNEUMOCOCCAL VACCINATION GIVEN,aurmedcode,au_454175013
PNEUMOCOCCAL VACCINATION GIVEN,conceptid,co_170337005
PNEUMOCOCCAL VACCINATION GIVEN,conceptid,co_310578008
PNEUMOCOCCAL VACCINATION GIVEN,ctv3,ct_Yac2g
PNEUMOCOCCAL VACCINATION GIVEN,medcode,me_36826
PNEUMOCOCCAL VACCINATION GIVEN,readv2_5,re_65720
PNEUMOCOCCAL VACCINATION GIVEN,readv2_7,re_6572000
PNEUMOCOCCAL VACCINATION GIVEN BY OTHER HEALT,aurmedcode,au_754011000000118
PNEUMOCOCCAL VACCINATION GIVEN BY OTHER HEALT,medcode,me_97759
PNEUMOCOCCAL VACCINATION GIVEN BY OTHER HEALT,readv2_5,re_657P.
PNEUMOCOCCAL VACCINATION GIVEN BY OTHER HEALT,readv2_7,re_657P.00
PX - 1 FLUA (H1N1V)09 VA OT PR,ctv3,ct_YatGA
PX - 2 FLUA (H1N1V)09 VA OT PR,ctv3,ct_YatGB
SEAS FLU VAC GVN BY OT HC PROV,ctv3,ct_YavFX
SEASONAL INFLUE VAC GIVN PHARM,ctv3,ct_Yavhn
SEASONAL INFLUENZA VACCIN GIVEN BY OTHER HEAL,medcode,me_105077
SEASONAL INFLUENZA VACCIN GIVEN BY OTHER HEAL,readv2_5,re_65E20
SEASONAL INFLUENZA VACCIN GIVEN BY OTHER HEAL,readv2_7,re_65E2000
SEASONAL INFLUENZA VACCINATION,aurmedcode,au_214208100000011
SEASONAL INFLUENZA VACCINATION,conceptid,co_822851000000102
SEASONAL INFLUENZA VACCINATION,ctv3,ct_YavFW
SEASONAL INFLUENZA VACCINATION,medcode,me_104688
