description,code_type,code_new
ACUTE CYSTITIS,aurmedcode,au_113331011
ACUTE CYSTITIS,conceptid,co_155883005
ACUTE CYSTITIS,conceptid,co_197833009
ACUTE CYSTITIS,conceptid,co_68226007
ACUTE CYSTITIS,ctv3,ct_YaVsb
ACUTE CYSTITIS,medcode,me_15074
ACUTE CYSTITIS,readv2_5,re_K150.
ACUTE CYSTITIS,readv2_7,re_K150.00
ASYMPTOMATIC BACTERIURIA,aurmedcode,au_354790018
ASYMPTOMATIC BACTERIURIA,conceptid,co_236704009
ASYMPTOMATIC BACTERIURIA,conceptid,co_720406004
ASYMPTOMATIC BACTERIURIA,ctv3,ct_Y31tO
ASYMPTOMATIC BACTERIURIA,medcode,me_10233
ASYMPTOMATIC BACTERIURIA,readv2_5,re_K1900
ASYMPTOMATIC BACTERIURIA,readv2_7,re_K190011
BACILLURIA,ctv3,ct_Y31uq
BACTERIURIA,conceptid,co_61373006
BACTERIURIA,ctv3,ct_Y31uo
"BACTERIURIA, SITE NOT SPECIFIED",aurmedcode,au_502401000006117
"BACTERIURIA, SITE NOT SPECIFIED",medcode,me_4993
"BACTERIURIA, SITE NOT SPECIFIED",readv2_7,re_K190000
CATHETER-ASSOCIATED URINARY TRACT INFECTION,aurmedcode,au_227789100000011
CATHETER-ASSOCIATED URINARY TRACT INFECTION,conceptid,co_700372006
CATHETER-ASSOCIATED URINARY TRACT INFECTION,conceptid,co_883431000000105
CATHETER-ASSOCIATED URINARY TRACT INFECTION,medcode,me_107568
CATHETER-ASSOCIATED URINARY TRACT INFECTION,readv2_5,re_SP07Q
CATHETER-ASSOCIATED URINARY TRACT INFECTION,readv2_7,re_SP07Q00
CATHETER-ASSOCIATED UTI,ctv3,ct_YawQE
CAUTI,ctv3,ct_YawQF
CAUTI - CATHETER-ASSOCIATED URINARY TRACT INF,medcode,me_107843
CAUTI - CATHETER-ASSOCIATED URINARY TRACT INF,readv2_7,re_SP07Q11
CYSTITIS,aurmedcode,au_65119018
CYSTITIS,conceptid,co_38822007
CYSTITIS,ctv3,ct_Y31nd
CYSTITIS,medcode,me_389
CYSTITIS,readv2_5,re_K15..
CYSTITIS,readv2_7,re_K15..00
CYSTITIS NOS,aurmedcode,au_304209017
CYSTITIS NOS,conceptid,co_197857009
CYSTITIS NOS,conceptid,co_266629000
CYSTITIS NOS,ctv3,ct_Y31ne
CYSTITIS NOS,medcode,me_12484
CYSTITIS NOS,readv2_5,re_K15z.
CYSTITIS NOS,readv2_7,re_K15z.00
CYSTITIS OF PREGNANCY,aurmedcode,au_411392011
CYSTITIS OF PREGNANCY,conceptid,co_199104003
CYSTITIS OF PREGNANCY,conceptid,co_275412000
CYSTITIS OF PREGNANCY,ctv3,ct_Y40uL
CYSTITIS OF PREGNANCY,medcode,me_2602
CYSTITIS OF PREGNANCY,readv2_5,re_L166.
CYSTITIS OF PREGNANCY,readv2_7,re_L166.11
GENITOURINARY TRACT INFECTION IN PREGNANCY,conceptid,co_267204006
GENITOURINARY TRACT INFECTION IN PREGNANCY -,aurmedcode,au_305972011
GENITOURINARY TRACT INFECTION IN PREGNANCY -,conceptid,co_199106001
GENITOURINARY TRACT INFECTION IN PREGNANCY -,medcode,me_16017
GENITOURINARY TRACT INFECTION IN PREGNANCY -,readv2_5,re_L1661
GENITOURINARY TRACT INFECTION IN PREGNANCY -,readv2_7,re_L166100
GENITOURINARY TRACT INFECTION IN PREGNANCY NO,aurmedcode,au_398349016
GENITOURINARY TRACT INFECTION IN PREGNANCY NO,medcode,me_15634
GENITOURINARY TRACT INFECTION IN PREGNANCY NO,readv2_5,re_L166z
GENITOURINARY TRACT INFECTION IN PREGNANCY NO,readv2_7,re_L166z00
GENITOURINARY TRACT INFECTION IN PREGNANCY UN,aurmedcode,au_305971016
GENITOURINARY TRACT INFECTION IN PREGNANCY UN,medcode,me_27451
GENITOURINARY TRACT INFECTION IN PREGNANCY UN,readv2_5,re_L1660
GENITOURINARY TRACT INFECTION IN PREGNANCY UN,readv2_7,re_L166000
GENITOURINARY TRACT INFECTIONS IN PREGNANCY,aurmedcode,au_398348012
GENITOURINARY TRACT INFECTIONS IN PREGNANCY,medcode,me_67975
GENITOURINARY TRACT INFECTIONS IN PREGNANCY,readv2_7,re_L166.00
INFECTION OF URINARY TRACT,ctv3,ct_Y31t9
INFECTIONS OF KIDNEY IN PREGNANCY,aurmedcode,au_305976014
INFECTIONS OF KIDNEY IN PREGNANCY,conceptid,co_199110003
INFECTIONS OF KIDNEY IN PREGNANCY,medcode,me_3029
INFECTIONS OF KIDNEY IN PREGNANCY,readv2_5,re_L1665
INFECTIONS OF KIDNEY IN PREGNANCY,readv2_7,re_L166500
INFECTNS OF KIDNEY IN PREGANCY,ctv3,ct_YMAm5
POST OPERATIVE URINARY TRACT INFECTION,aurmedcode,au_216611000006114
POST OPERATIVE URINARY TRACT INFECTION,conceptid,co_197926005
POST OPERATIVE URINARY TRACT INFECTION,medcode,me_12570
POST OPERATIVE URINARY TRACT INFECTION,readv2_5,re_K1902
POST OPERATIVE URINARY TRACT INFECTION,readv2_7,re_K190200
POSTOPERATIVE UTI,ctv3,ct_Yacwo
PREG.+GENITOURINARY INF.NOS,ctv3,ct_Y40uM
PREG.+GENITOURINARY INFECTIONS,ctv3,ct_Y40uJ
PREG.+GUT INFECTION UNSPECIF.,ctv3,ct_Y40uR
PREG.+GUT INFECTION-DELIVERED,ctv3,ct_Y40uQ
RECUR URINARY TRACT INFECTIONS,ctv3,ct_Yah7b
RECURRENT CYSTITIS,aurmedcode,au_304205011
