code,term,dmd_id,dmd_type,bnf,type
35899811000001104,AMIKACIN 100MG/2ML SOLUTION FOR INJECTION VIALS,35899811000001104,VMP,0501040C0AAADAD,Amikacin
35899911000001108,AMIKACIN 500MG/2ML SOLUTION FOR INJECTION VIALS,35899911000001108,VMP,0501040C0AAAAAA,Amikacin
9222111000001108,AMIKACIN 500MG/2ML SOLUTION FOR INJECTION VIALS,9222111000001108,AMP,0501040C0AAAAAA,Amikacin
11591311000001108,AMIKACIN 500MG/2ML SOLUTION FOR INJECTION VIALS,11591311000001108,AMP,0501040C0AAAAAA,Amikacin
39488711000001104,AMIKACIN 500MG/2ML SOLUTION FOR INJECTION VIALS,39488711000001104,AMP,0501040C0AAAAAA,Amikacin
4500411000001101,AMIKIN 100MG/2ML SOLUTION FOR INJECTION VIALS,4500411000001101,AMP,0501040C0BBACAD,Amikacin
4500111000001106,AMIKIN 500MG/2ML SOLUTION FOR INJECTION VIALS,4500111000001106,AMP,0501040C0BBAAAA,Amikacin
35899911000001109,Amikacin 500mg/2ml solution for injection vials,35899911000001109,VMP,0501040C0AAAAAA,Amikacin
9222111000001109,Amikacin 500mg/2ml solution for injection vials,9222111000001109,AMP,0501040C0AAAAAA,Amikacin
39488711000001101,Amikacin 500mg/2ml solution for injection vials,39488711000001101,AMP,0501040C0AAAAAA,Amikacin
196111000001109,ALMODAN 125MG/5ML SYRUP,196111000001109,AMP,0501013B0BDABAJ,Amoxicillin
29011000001102,AMICLAV 250MG/125MG TABLETS,29011000001102,AMP,0501013K0BCAAAA,Amoxicillin
774011000001100,AMIX 125 ORAL SUSPENSION,774011000001100,AMP,0501013B0BFAGAS,Amoxicillin
644811000001100,AMIX 250 CAPSULES,644811000001100,AMP,0501013B0BFAEAA,Amoxicillin
252511000001109,AMIX 250 ORAL SUSPENSION,252511000001109,AMP,0501013B0BFAIAT,Amoxicillin
121011000001106,AMIX 500 CAPSULES,121011000001106,AMP,0501013B0BFAFAB,Amoxicillin
42011000001106,AMORAM 125MG/5ML ORAL SUSPENSION,42011000001106,AMP,0501013B0BGACAS,Amoxicillin
500511000001107,AMORAM 250MG CAPSULES,500511000001107,AMP,0501013B0BGAAAA,Amoxicillin
284811000001105,AMORAM 250MG/5ML ORAL SUSPENSION,284811000001105,AMP,0501013B0BGADAT,Amoxicillin
19211000001104,AMORAM 500MG CAPSULES,19211000001104,AMP,0501013B0BGABAB,Amoxicillin
35368511000001108,AMOXICILLIN 125MG/1.25ML ORAL SUSPENSION PAEDIATRIC,35368511000001108,VMP,0501013B0AAAIAI,Amoxicillin
323732002,AMOXICILLIN 125MG/5ML ORAL SUSPENSION,323732002,VMP,0501013B0AAAJAJ,Amoxicillin
634511000001102,AMOXICILLIN 125MG/5ML ORAL SUSPENSION,634511000001102,AMP,0501013B0AAAJAJ,Amoxicillin
159311000001109,AMOXICILLIN 125MG/5ML ORAL SUSPENSION,159311000001109,AMP,0501013B0AAAJAJ,Amoxicillin
200311000001108,AMOXICILLIN 125MG/5ML ORAL SUSPENSION,200311000001108,AMP,0501013B0AAAJAJ,Amoxicillin
860211000001109,AMOXICILLIN 125MG/5ML ORAL SUSPENSION,860211000001109,AMP,0501013B0AAAJAJ,Amoxicillin
143211000001100,AMOXICILLIN 125MG/5ML ORAL SUSPENSION,143211000001100,AMP,0501013B0AAAJAJ,Amoxicillin
329011000001104,AMOXICILLIN 125MG/5ML ORAL SUSPENSION,329011000001104,AMP,0501013B0AAAJAJ,Amoxicillin
856111000001107,AMOXICILLIN 125MG/5ML ORAL SUSPENSION,856111000001107,AMP,0501013B0AAAJAJ,Amoxicillin
144711000001109,AMOXICILLIN 125MG/5ML ORAL SUSPENSION,144711000001109,AMP,0501013B0AAAJAJ,Amoxicillin
549011000001104,AMOXICILLIN 125MG/5ML ORAL SUSPENSION,549011000001104,AMP,0501013B0AAAJAJ,Amoxicillin
9786511000001104,AMOXICILLIN 125MG/5ML ORAL SUSPENSION,9786511000001104,AMP,0501013B0AAAJAJ,Amoxicillin
10426911000001104,AMOXICILLIN 125MG/5ML ORAL SUSPENSION,10426911000001104,AMP,0501013B0AAAJAJ,Amoxicillin
15984311000001100,AMOXICILLIN 125MG/5ML ORAL SUSPENSION,15984311000001100,AMP,0501013B0AAAJAJ,Amoxicillin
17781111000001106,AMOXICILLIN 125MG/5ML ORAL SUSPENSION,17781111000001106,AMP,0501013B0AAAJAJ,Amoxicillin
21766511000001108,AMOXICILLIN 125MG/5ML ORAL SUSPENSION,21766511000001108,AMP,0501013B0AAAJAJ,Amoxicillin
