description,code_type,code_new
ACUTE ASTHMA,ctv3,ct_YaYk2
ACUTE EXACERBATION OF ALLERGIC ASTHMA,conceptid,co_708093000
ACUTE EXACERBATION OF ASTHMA,aurmedcode,au_419211018
ACUTE EXACERBATION OF ASTHMA,conceptid,co_708038006
ACUTE EXACERBATION OF ASTHMA,ctv3,ct_YaY9k
ACUTE EXACERBATION OF ASTHMA,medcode,me_185
ACUTE EXACERBATION OF ASTHMA,readv2_5,re_H333.
ACUTE EXACERBATION OF ASTHMA,readv2_7,re_H333.00
ACUTE EXACERBATION OF INTRINSIC ASTHMA,conceptid,co_708094006
ALLERGIC ASTHMA,aurmedcode,au_1483199016
ALLERGIC ASTHMA,conceptid,co_233680000
ALLERGIC ASTHMA,conceptid,co_389145006
ALLERGIC ASTHMA,ctv3,ct_Y1084
ALLERGIC ASTHMA,medcode,me_2290
ALLERGIC ASTHMA,readv2_5,re_H330.
ALLERGIC ASTHMA,readv2_7,re_H330.11
ALLERGIC ASTHMA NEC,aurmedcode,au_350152014
ALLERGIC ASTHMA NEC,conceptid,co_195983001
ALLERGIC ASTHMA NEC,conceptid,co_233682008
ALLERGIC ASTHMA NEC,ctv3,ct_Y1089
ALLERGIC ASTHMA NEC,medcode,me_21232
ALLERGIC ASTHMA NEC,readv2_5,re_H33zz
ALLERGIC ASTHMA NEC,readv2_7,re_H33zz12
ALLERGIC ATOPIC ASTHMA,ctv3,ct_Y108A
ALLERGIC BRONCHITIS,conceptid,co_405720007
ALLERGIC BRONCHITIS,ctv3,ct_Y108f
ALLERGIC BRONCHITIS NEC,aurmedcode,au_477291000006114
ALLERGIC BRONCHITIS NEC,ctv3,ct_Ya15s
ALLERGIC BRONCHITIS NEC,medcode,me_18207
ALLERGIC BRONCHITIS NEC,readv2_7,re_H33zz13
ASTHMA,aurmedcode,au_301485011
ASTHMA,conceptid,co_155574008
ASTHMA,conceptid,co_187687003
ASTHMA,conceptid,co_195967001
ASTHMA,conceptid,co_21341004
ASTHMA,ctv3,ct_Y107p
ASTHMA,medcode,me_78
ASTHMA,readv2_5,re_H33..
ASTHMA,readv2_7,re_H33..00
ASTHMA ATTACK,aurmedcode,au_396119015
ASTHMA ATTACK,conceptid,co_155579003
ASTHMA ATTACK,conceptid,co_266364000
ASTHMA ATTACK,conceptid,co_266398009
ASTHMA ATTACK,ctv3,ct_YM1gM
ASTHMA ATTACK,medcode,me_232
ASTHMA ATTACK,readv2_5,re_H33z1
ASTHMA ATTACK,readv2_7,re_H33z100
ASTHMA ATTACK NOS,aurmedcode,au_409865018
ASTHMA ATTACK NOS,conceptid,co_155578006
ASTHMA ATTACK NOS,conceptid,co_195981004
ASTHMA ATTACK NOS,conceptid,co_274105009
ASTHMA ATTACK NOS,ctv3,ct_YMH4l
ASTHMA ATTACK NOS,medcode,me_8335
ASTHMA ATTACK NOS,readv2_7,re_H33z111
ASTHMA NOS,aurmedcode,au_396120014
ASTHMA NOS,conceptid,co_266365004
ASTHMA NOS,ctv3,ct_Y1080
ASTHMA NOS,medcode,me_16070
ASTHMA NOS,readv2_7,re_H33zz00
ASTHMA UNSPECIFIED,aurmedcode,au_301511014
ASTHMA UNSPECIFIED,ctv3,ct_Y107y
ASTHMA UNSPECIFIED,medcode,me_4442
ASTHMA UNSPECIFIED,readv2_5,re_H33z.
ASTHMA UNSPECIFIED,readv2_7,re_H33z.00
BRITTLE ASTHMA,aurmedcode,au_338238011
BRITTLE ASTHMA,conceptid,co_225057002
BRITTLE ASTHMA,ctv3,ct_YMFVN
BRITTLE ASTHMA,medcode,me_40823
BRITTLE ASTHMA,readv2_5,re_H334.
BRITTLE ASTHMA,readv2_7,re_H334.00
BRONCHIAL ASTHMA,aurmedcode,au_301480018
BRONCHIAL ASTHMA,ctv3,ct_Y107q
BRONCHIAL ASTHMA,medcode,me_1555
BRONCHIAL ASTHMA,readv2_7,re_H33..11
CHILDHOOD ASTHMA,aurmedcode,au_350147016
CHILDHOOD ASTHMA,conceptid,co_233678006
CHILDHOOD ASTHMA,ctv3,ct_Y107w
CHILDHOOD ASTHMA,medcode,me_1208
CHILDHOOD ASTHMA,readv2_7,re_H330.12
CHRON ASTHM W FIX AIRFLW OBSTR,ctv3,ct_Yaw0M
CHRONIC ASTHMA WITH FIXED AIRFLOW OBSTRUCTION,aurmedcode,au_224059100000011
CHRONIC ASTHMA WITH FIXED AIRFLOW OBSTRUCTION,conceptid,co_866881000000101
CHRONIC ASTHMA WITH FIXED AIRFLOW OBSTRUCTION,medcode,me_106805
CHRONIC ASTHMA WITH FIXED AIRFLOW OBSTRUCTION,readv2_5,re_H335.
CHRONIC ASTHMA WITH FIXED AIRFLOW OBSTRUCTION,readv2_7,re_H335.00
EXERCISE INDUCED ASTHMA,aurmedcode,au_655601000006113
EXERCISE INDUCED ASTHMA,aurmedcode,au_655611000006111
EXERCISE INDUCED ASTHMA,conceptid,co_31387002
EXERCISE INDUCED ASTHMA,ctv3,ct_Y1081
EXERCISE INDUCED ASTHMA,medcode,me_4606
EXERCISE INDUCED ASTHMA,medcode,me_5867
EXERCISE INDUCED ASTHMA,readv2_5,re_173A.
EXERCISE INDUCED ASTHMA,readv2_7,re_173A.00
EXERCISE INDUCED ASTHMA,readv2_7,re_H33zz11
EXERCISE-INDUCED ASTHMA,ctv3,ct_YadS4
EXTRINSIC (ATOPIC) ASTHMA,aurmedcode,au_660351000006118
EXTRINSIC (ATOPIC) ASTHMA,ctv3,ct_Y108B
EXTRINSIC (ATOPIC) ASTHMA,medcode,me_7146
EXTRINSIC (ATOPIC) ASTHMA,readv2_7,re_H330.00
EXTRINSIC ASTHMA + ATTACK,ctv3,ct_Y1087
EXTRINSIC ASTHMA + STATUS,ctv3,ct_Y1086
EXTRINSIC ASTHMA - NO STATUS,ctv3,ct_Y1085
EXTRINSIC ASTHMA NOS,aurmedcode,au_301499010
EXTRINSIC ASTHMA NOS,conceptid,co_195972005
EXTRINSIC ASTHMA NOS,conceptid,co_424643009
