description,code_type,code_new
ACUTE PYELITIS,aurmedcode,au_54753017
ACUTE PYELITIS,conceptid,co_32801008
ACUTE PYELITIS,ctv3,ct_Y31cR
ACUTE PYELITIS,medcode,me_14828
ACUTE PYELITIS,readv2_5,re_K1012
ACUTE PYELITIS,readv2_7,re_K101200
ACUTE PYELONEPHRITIS,aurmedcode,au_61206018
ACUTE PYELONEPHRITIS,conceptid,co_36689008
ACUTE PYELONEPHRITIS,ctv3,ct_Y31cJ
ACUTE PYELONEPHRITIS,medcode,me_2546
ACUTE PYELONEPHRITIS,readv2_5,re_K101.
ACUTE PYELONEPHRITIS,readv2_7,re_K101.00
ACUTE PYELONEPHRITIS NOS,aurmedcode,au_304071011
ACUTE PYELONEPHRITIS NOS,conceptid,co_197771007
ACUTE PYELONEPHRITIS NOS,ctv3,ct_Y31cL
ACUTE PYELONEPHRITIS NOS,medcode,me_38698
ACUTE PYELONEPHRITIS NOS,readv2_5,re_K101z
ACUTE PYELONEPHRITIS NOS,readv2_7,re_K101z00
CALCULOUS PYELONEPHRITIS,aurmedcode,au_39884018
CALCULOUS PYELONEPHRITIS,conceptid,co_197766000
CALCULOUS PYELONEPHRITIS,conceptid,co_23754003
CALCULOUS PYELONEPHRITIS,ctv3,ct_YMAm4
CALCULOUS PYELONEPHRITIS,medcode,me_2939
CALCULOUS PYELONEPHRITIS,readv2_5,re_K1006
CALCULOUS PYELONEPHRITIS,readv2_7,re_K100600
INFECTION OF KIDNEY NOS,aurmedcode,au_304091016
INFECTION OF KIDNEY NOS,conceptid,co_129128006
INFECTION OF KIDNEY NOS,conceptid,co_155865002
INFECTION OF KIDNEY NOS,conceptid,co_197785002
INFECTION OF KIDNEY NOS,ctv3,ct_Y31c8
INFECTION OF KIDNEY NOS,medcode,me_4255
INFECTION OF KIDNEY NOS,readv2_5,re_K10z.
INFECTION OF KIDNEY NOS,readv2_7,re_K10z.00
PERINEPHRIC ABSCESS,aurmedcode,au_133779010
PERINEPHRIC ABSCESS,conceptid,co_235998001
PERINEPHRIC ABSCESS,conceptid,co_80640009
PERINEPHRIC ABSCESS,ctv3,ct_Y31cX
PERINEPHRIC ABSCESS,medcode,me_3610
PERINEPHRIC ABSCESS,readv2_5,re_K1021
PERINEPHRIC ABSCESS,readv2_7,re_K102100
PYELITIS,conceptid,co_27174002
PYELITIS UNSPECIFIED,aurmedcode,au_304085018
PYELITIS UNSPECIFIED,conceptid,co_197780007
PYELITIS UNSPECIFIED,ctv3,ct_Y31cC
PYELITIS UNSPECIFIED,medcode,me_1106
PYELITIS UNSPECIFIED,readv2_5,re_K10y1
PYELITIS UNSPECIFIED,readv2_7,re_K10y100
PYELONEPHRITIS,conceptid,co_45816000
PYELONEPHRITIS AND PYONEPHROSIS UNSPECIFIED,aurmedcode,au_304083013
PYELONEPHRITIS AND PYONEPHROSIS UNSPECIFIED,conceptid,co_197778001
PYELONEPHRITIS AND PYONEPHROSIS UNSPECIFIED,medcode,me_53944
PYELONEPHRITIS AND PYONEPHROSIS UNSPECIFIED,readv2_5,re_K10y.
PYELONEPHRITIS AND PYONEPHROSIS UNSPECIFIED,readv2_7,re_K10y.00
PYELONEPHRITIS UNSPECIFIED,aurmedcode,au_304084019
PYELONEPHRITIS UNSPECIFIED,conceptid,co_197779009
PYELONEPHRITIS UNSPECIFIED,ctv3,ct_Y31cD
PYELONEPHRITIS UNSPECIFIED,medcode,me_1899
PYELONEPHRITIS UNSPECIFIED,readv2_5,re_K10y0
PYELONEPHRITIS UNSPECIFIED,readv2_7,re_K10y000
PYELONEPHRITIS/PYONEPHR.UNSPEC,ctv3,ct_Y31c9
RENAL ABSCESS,aurmedcode,au_6605011
RENAL ABSCESS,conceptid,co_3321001
RENAL ABSCESS,ctv3,ct_Y31cU
RENAL ABSCESS,medcode,me_15357
RENAL ABSCESS,readv2_5,re_K1020
RENAL ABSCESS,readv2_7,re_K102000
RENAL CARBUNCLE,aurmedcode,au_158303015
RENAL CARBUNCLE,conceptid,co_95572004
RENAL CARBUNCLE,ctv3,ct_Y31cV
RENAL CARBUNCLE,medcode,me_49212
RENAL CARBUNCLE,readv2_5,re_K1022
RENAL CARBUNCLE,readv2_7,re_K102200
UNSPECIFIED PYELONEPHRITIS NOS,aurmedcode,au_304090015
UNSPECIFIED PYELONEPHRITIS NOS,conceptid,co_197784003
UNSPECIFIED PYELONEPHRITIS NOS,ctv3,ct_Y31cA
UNSPECIFIED PYELONEPHRITIS NOS,medcode,me_59121
UNSPECIFIED PYELONEPHRITIS NOS,readv2_5,re_K10yz
UNSPECIFIED PYELONEPHRITIS NOS,readv2_7,re_K10yz00
