description,code_type,code_new
ACUTE CORYZA,ctv3,ct_Y02RZ
ACUTE NASOPHARYNGITIS,aurmedcode,au_136470019
ACUTE NASOPHARYNGITIS,conceptid,co_82272006
ACUTE NASOPHARYNGITIS,ctv3,ct_Y02TH
ACUTE NASOPHARYNGITIS,medcode,me_3260
ACUTE NASOPHARYNGITIS,readv2_5,re_H00..
ACUTE NASOPHARYNGITIS,readv2_7,re_H00..00
ACUTE RHINITIS,ctv3,ct_Y02RT
CHEST COLD,aurmedcode,au_301143015
CHEST COLD,conceptid,co_195747001
CHEST COLD,conceptid,co_50417007
CHEST COLD,ctv3,ct_YaYAg
CHEST COLD,medcode,me_2476
CHEST COLD,readv2_5,re_H07..
CHEST COLD,readv2_7,re_H07..00
COLD,ctv3,ct_YM3xn
COMMON COLD,aurmedcode,au_136463019
COMMON COLD,conceptid,co_155497009
COMMON COLD,conceptid,co_232342002
COMMON COLD,ctv3,ct_Y02RU
COMMON COLD,medcode,me_368
COMMON COLD,readv2_7,re_H00..11
CORYZA - ACUTE,aurmedcode,au_598191000006116
CORYZA - ACUTE,ctv3,ct_YMK6B
CORYZA - ACUTE,medcode,me_1246
CORYZA - ACUTE,readv2_7,re_H00..12
FEBRILE COLD,aurmedcode,au_667611000006110
FEBRILE COLD,ctv3,ct_Y02RV
FEBRILE COLD,medcode,me_6620
FEBRILE COLD,readv2_7,re_H00..13
FLU LIKE ILLNESS,aurmedcode,au_762181000006116
FLU LIKE ILLNESS,conceptid,co_95891005
FLU LIKE ILLNESS,ctv3,ct_Y103y
FLU LIKE ILLNESS,medcode,me_2157
FLU LIKE ILLNESS,readv2_5,re_H27z.
FLU LIKE ILLNESS,readv2_7,re_H27z.11
FLU-LIKE ILLNESS,ctv3,ct_Yadjp
INFLUENZA LIKE ILLNESS,aurmedcode,au_778711000006116
INFLUENZA LIKE ILLNESS,conceptid,co_195931008
INFLUENZA LIKE ILLNESS,ctv3,ct_Y103z
INFLUENZA LIKE ILLNESS,medcode,me_5947
INFLUENZA LIKE ILLNESS,readv2_7,re_H27z.12
INFLUENZA-LIKE ILLNESS,ctv3,ct_YMH4d
INFLUENZA-LIKE SYMPTOMS,aurmedcode,au_460161011
INFLUENZA-LIKE SYMPTOMS,conceptid,co_139168000
INFLUENZA-LIKE SYMPTOMS,conceptid,co_161913008
INFLUENZA-LIKE SYMPTOMS,conceptid,co_315642008
INFLUENZA-LIKE SYMPTOMS,ctv3,ct_YajUG
INFLUENZA-LIKE SYMPTOMS,medcode,me_8980
INFLUENZA-LIKE SYMPTOMS,readv2_5,re_16L..
INFLUENZA-LIKE SYMPTOMS,readv2_7,re_16L..00
NASAL CATARRH - ACUTE,aurmedcode,au_681561000006119
NASAL CATARRH - ACUTE,conceptid,co_64531003
NASAL CATARRH - ACUTE,ctv3,ct_Y02RW
NASAL CATARRH - ACUTE,medcode,me_896
NASAL CATARRH - ACUTE,readv2_7,re_H00..14
PYREXIAL COLD,aurmedcode,au_195731000006118
PYREXIAL COLD,conceptid,co_195648002
PYREXIAL COLD,ctv3,ct_Y02RX
PYREXIAL COLD,medcode,me_9093
PYREXIAL COLD,readv2_7,re_H00..15
RHINITIS - ACUTE,aurmedcode,au_162421000006116
RHINITIS - ACUTE,ctv3,ct_YMK6C
RHINITIS - ACUTE,medcode,me_3821
RHINITIS - ACUTE,readv2_7,re_H00..16
RHINORRHOEA,ctv3,ct_Y7EWG
