description,code_type,code_new
ABSCESS OF EXTERNAL EAR,aurmedcode,au_347926013
ABSCESS OF EXTERNAL EAR,conceptid,co_194233005
ABSCESS OF EXTERNAL EAR,conceptid,co_232212002
ABSCESS OF EXTERNAL EAR,ctv3,ct_YabUO
ABSCESS OF EXTERNAL EAR,medcode,me_16969
ABSCESS OF EXTERNAL EAR,readv2_5,re_F506.
ABSCESS OF EXTERNAL EAR,readv2_7,re_F506.00
"ABSCESS, EXTERNAL EAR",aurmedcode,au_219461000000111
"ABSCESS, EXTERNAL EAR",ctv3,ct_Y02Gn
"ABSCESS, EXTERNAL EAR",medcode,me_20144
"ABSCESS, EXTERNAL EAR",readv2_5,re_F5011
"ABSCESS, EXTERNAL EAR",readv2_7,re_F501111
ACUTE INFECTION OF PINNA,aurmedcode,au_94233010
ACUTE INFECTION OF PINNA,conceptid,co_56663002
ACUTE INFECTION OF PINNA,ctv3,ct_Y02Gw
ACUTE INFECTION OF PINNA,medcode,me_15107
ACUTE INFECTION OF PINNA,readv2_5,re_F5012
ACUTE INFECTION OF PINNA,readv2_7,re_F501200
ACUTE INFECTIVE OTITIS EXTERNA,aurmedcode,au_399494015
ACUTE INFECTIVE OTITIS EXTERNA,conceptid,co_267665002
ACUTE INFECTIVE OTITIS EXTERNA,ctv3,ct_Y02Hc
ACUTE INFECTIVE OTITIS EXTERNA,medcode,me_14907
ACUTE INFECTIVE OTITIS EXTERNA,readv2_7,re_F501100
ACUTE OTITIS EXTERNA,conceptid,co_30250000
ACUTE PERICHONDRITIS OF PINNA,aurmedcode,au_76474017
ACUTE PERICHONDRITIS OF PINNA,conceptid,co_45855004
ACUTE PERICHONDRITIS OF PINNA,ctv3,ct_Y02H2
ACUTE PERICHONDRITIS OF PINNA,medcode,me_43616
ACUTE PERICHONDRITIS OF PINNA,readv2_5,re_F5001
ACUTE PERICHONDRITIS OF PINNA,readv2_7,re_F500100
ACUTE SWIMMER'S EAR,ctv3,ct_Y02Hd
ACUTE SWIMMERS' EAR,aurmedcode,au_460581000006115
ACUTE SWIMMERS' EAR,ctv3,ct_YMK4w
ACUTE SWIMMERS' EAR,medcode,me_22384
ACUTE SWIMMERS' EAR,readv2_5,re_F5013
ACUTE SWIMMERS' EAR,readv2_7,re_F501300
CELLULITIS OF EXTERNAL EAR,conceptid,co_95806007
CELLULITIS OF EXTERNAL EAR,ctv3,ct_Y02Go
"CELLULITIS, EXTERNAL EAR",aurmedcode,au_219471000000116
"CELLULITIS, EXTERNAL EAR",conceptid,co_232214001
"CELLULITIS, EXTERNAL EAR",ctv3,ct_YMK4v
"CELLULITIS, EXTERNAL EAR",medcode,me_8852
"CELLULITIS, EXTERNAL EAR",readv2_7,re_F501112
CHONDRODERM NODULARIS HELICIS,ctv3,ct_Y02H4
CHONDRODERMATITIS NODULARIS HELICIS,aurmedcode,au_127176015
CHONDRODERMATITIS NODULARIS HELICIS,aurmedcode,au_552351000006115
CHONDRODERMATITIS NODULARIS HELICIS,conceptid,co_194195009
CHONDRODERMATITIS NODULARIS HELICIS,conceptid,co_194196005
CHONDRODERMATITIS NODULARIS HELICIS,conceptid,co_393584002
CHONDRODERMATITIS NODULARIS HELICIS,conceptid,co_76583009
CHONDRODERMATITIS NODULARIS HELICIS,medcode,me_16847
CHONDRODERMATITIS NODULARIS HELICIS,medcode,me_7548
CHONDRODERMATITIS NODULARIS HELICIS,readv2_5,re_F5002
CHONDRODERMATITIS NODULARIS HELICIS,readv2_5,re_F5003
CHONDRODERMATITIS NODULARIS HELICIS,readv2_7,re_F500211
CHONDRODERMATITIS NODULARIS HELICIS,readv2_7,re_F500300
CHRONIC INF OTITIS EXTERNA NOS,ctv3,ct_Y02IA
CHRONIC INFECTIVE OTITIS EXTERNA,conceptid,co_232224009
CHRONIC INFECTIVE OTITIS EXTERNA NOS,aurmedcode,au_298970018
CHRONIC INFECTIVE OTITIS EXTERNA NOS,conceptid,co_194211008
CHRONIC INFECTIVE OTITIS EXTERNA NOS,medcode,me_8700
CHRONIC INFECTIVE OTITIS EXTERNA NOS,readv2_5,re_F501F
CHRONIC INFECTIVE OTITIS EXTERNA NOS,readv2_7,re_F501F00
CHRONIC PERICHONDRITIS OF PINNA,conceptid,co_45431004
"CHRONIC PERICHONDRITIS,PINNA",ctv3,ct_Y02H3
CHRONIC PINNA PERICHONDRITIS,aurmedcode,au_219451000000113
CHRONIC PINNA PERICHONDRITIS,ctv3,ct_YMK4u
CHRONIC PINNA PERICHONDRITIS,medcode,me_38719
CHRONIC PINNA PERICHONDRITIS,readv2_7,re_F500200
EAR PAIN,aurmedcode,au_477607011
EAR PAIN,conceptid,co_16001004
EAR PAIN,conceptid,co_302219006
EAR PAIN,ctv3,ct_Y02NZ
EAR PAIN,medcode,me_1135
EAR PAIN,readv2_5,re_F587.
EAR PAIN,readv2_7,re_F587.11
ERYSIPELAS - OTITIS EXTERNA,aurmedcode,au_298955019
ERYSIPELAS - OTITIS EXTERNA,conceptid,co_194202008
