readcode,medcode_desc,codegroup,frequency,hawkeslist,desc_class,codegroup_broad,medcode
H06..00,Acute bronchitis and bronchiolitis,LRTI,5705,0,Acute bronchitis and bronchiolitis,LRTI,29669
H060.00,Acute bronchitis,LRTI,259605,0,Acute bronchitis and bronchiolitis,LRTI,312
H060.11,Acute wheezy bronchitis,LRTI,33318,0,Acute bronchitis and bronchiolitis,LRTI,5978
H060000,Acute fibrinous bronchitis,LRTI,2,0,Acute bronchitis and bronchiolitis,LRTI,50396
H060400,Acute croupous bronchitis,LRTI,84,0,Acute bronchitis and bronchiolitis,LRTI,21145
H060500,Acute tracheobronchitis,LRTI,2354,0,Acute bronchitis and bronchiolitis,LRTI,11101
H060x00,Acute bacterial bronchitis unspecified,LRTI,14,0,Acute bronchitis and bronchiolitis,LRTI,24800
H060z00,Acute bronchitis NOS,LRTI,1337,0,Acute bronchitis and bronchiolitis,LRTI,20198
H061.00,Acute bronchiolitis,LRTI,3367,0,Acute bronchitis and bronchiolitis,LRTI,1019
H061000,Acute capillary bronchiolitis,LRTI,1,0,Acute bronchitis and bronchiolitis,LRTI,54533
H061200,Acute bronchiolitis with bronchospasm,LRTI,130,0,Acute bronchitis and bronchiolitis,LRTI,17185
H061300,Acute exudative bronchiolitis,LRTI,4,0,Acute bronchitis and bronchiolitis,LRTI,69192
H061z00,Acute bronchiolitis NOS,LRTI,58,0,Acute bronchitis and bronchiolitis,LRTI,17917
H062.00,Acute lower respiratory tract infection,LRTI,55023,0,Acute bronchitis and bronchiolitis,LRTI,6124
H06z.00,Acute bronchitis or bronchiolitis NOS,LRTI,112,0,Acute bronchitis and bronchiolitis,LRTI,41137
H06z000,Chest infection NOS,LRTI,843449,0,Acute bronchitis and bronchiolitis,LRTI,2581
H06z011,Chest infection,LRTI,607277,0,Acute bronchitis and bronchiolitis,LRTI,68
H06z100,Lower resp tract infection,LRTI,97032,0,Acute bronchitis and bronchiolitis,LRTI,3358
H06z111,Respiratory tract infection,LRTI,162285,1,Acute bronchitis and bronchiolitis,LRTI,293
H06z112,Acute lower respiratory tract infection,LRTI,2035,0,Acute bronchitis and bronchiolitis,LRTI,37447
H06z200,Recurrent chest infection,LRTI,983,0,Acute bronchitis and bronchiolitis,LRTI,4899
H24..11,Chest infection with infectious disease EC,LRTI,7,0,Pneumonia with infectious diseases EC,LRTI,24316
H30..00,Bronchitis unspecified,LRTI,14539,0,Bronchitis unspecified,LRTI,148
H30..11,Chest infection - unspecified bronchitis,LRTI,828,0,Bronchitis unspecified,LRTI,17359
H30..12,Recurrent wheezy bronchitis,LRTI,321,0,Bronchitis unspecified,LRTI,7092
H300.00,Tracheobronchitis NOS,LRTI,1541,0,Bronchitis unspecified,LRTI,3163
H301.00,Laryngotracheobronchitis,LRTI,609,0,Bronchitis unspecified,LRTI,1934
H302.00,Wheezy bronchitis,LRTI,8550,0,Bronchitis unspecified,LRTI,152
H30z.00,Bronchitis NOS,LRTI,477,0,Bronchitis unspecified,LRTI,3480
H312100,Emphysematous bronchitis,LRTI,11,0,Chronic bronchitis,COPD,14798
H312300,Bronchiolitis obliterans,LRTI,1,0,Chronic bronchitis,COPD,26125
H34..00,Bronchiectasis,LRTI,5590,0,Bronchiectasis,LRTI,2195
H340.00,Recurrent bronchiectasis,LRTI,25,0,Bronchiectasis,LRTI,20364
H341.00,Post-infective bronchiectasis,LRTI,1,0,Bronchiectasis,LRTI,41491
H34z.00,Bronchiectasis NOS,LRTI,44,0,Bronchiectasis,LRTI,32679
H50..00,Empyema,LRTI,58,0,Empyema,LRTI,2375
H500100,Empyema with bronchopleural fistula,LRTI,1,0,Empyema,LRTI,34651
H501200,Pleural empyema,LRTI,1,0,Empyema,LRTI,44425
H501400,Purulent pleurisy,LRTI,21,0,Empyema,LRTI,49452
H51..00,Pleurisy,LRTI,11544,0,Pleurisy,LRTI,978
H510300,Acute dry pleurisy,LRTI,11,0,Pleurisy,LRTI,19207
H583200,Eosinophilic bronchitis,LRTI,2,0,Other diseases of lung,LRTI,106650
Hyu1.00,[X]Other acute lower respiratory infections,LRTI,2,0,[X]Additional respiratory disease classification terms,URTI,66397
H060300,Acute purulent bronchitis,LRTI_bacterial,95,0,Acute bronchitis and bronchiolitis,LRTI,11072
H060600,Acute pneumococcal bronchitis,LRTI_bacterial,1,0,Acute bronchitis and bronchiolitis,LRTI,9043
H060700,Acute streptococcal bronchitis,LRTI_bacterial,1,0,Acute bronchitis and bronchiolitis,LRTI,43362
H060800,Acute haemophilus influenzae bronchitis,LRTI_bacterial,5,0,Acute bronchitis and bronchiolitis,LRTI,21492
H060A00,Acute bronchitis due to mycoplasma pneumoniae,LRTI_bacterial,14,0,Acute bronchitis and bronchiolitis,LRTI,31886
H510900,Pneumococcal pleurisy,LRTI_bacterial,2,0,Pleurisy,LRTI,32818
