description,code_type,code_new
ACUTE ETHMOIDAL SINUSITIS,aurmedcode,au_112674013
ACUTE ETHMOIDAL SINUSITIS,conceptid,co_67832005
ACUTE ETHMOIDAL SINUSITIS,ctv3,ct_Y02UB
ACUTE ETHMOIDAL SINUSITIS,medcode,me_15724
ACUTE ETHMOIDAL SINUSITIS,readv2_5,re_H012.
ACUTE ETHMOIDAL SINUSITIS,readv2_7,re_H012.00
ACUTE FRONTAL SINUSITIS,aurmedcode,au_150861013
ACUTE FRONTAL SINUSITIS,conceptid,co_155500003
ACUTE FRONTAL SINUSITIS,conceptid,co_91038008
ACUTE FRONTAL SINUSITIS,ctv3,ct_Y02UD
ACUTE FRONTAL SINUSITIS,medcode,me_8213
ACUTE FRONTAL SINUSITIS,readv2_5,re_H011.
ACUTE FRONTAL SINUSITIS,readv2_7,re_H011.00
ACUTE MAXILLARY SINUSITIS,aurmedcode,au_113403018
ACUTE MAXILLARY SINUSITIS,conceptid,co_155499007
ACUTE MAXILLARY SINUSITIS,conceptid,co_68272006
ACUTE MAXILLARY SINUSITIS,ctv3,ct_Y02U9
ACUTE MAXILLARY SINUSITIS,medcode,me_7021
ACUTE MAXILLARY SINUSITIS,readv2_5,re_H010.
ACUTE MAXILLARY SINUSITIS,readv2_7,re_H010.00
ACUTE RHINOSINUSITIS,aurmedcode,au_567061000000117
ACUTE RHINOSINUSITIS,conceptid,co_431231008
ACUTE RHINOSINUSITIS,ctv3,ct_Yaqjq
ACUTE RHINOSINUSITIS,medcode,me_94218
ACUTE RHINOSINUSITIS,readv2_5,re_H014.
ACUTE RHINOSINUSITIS,readv2_7,re_H014.00
ACUTE SINUSITIS,aurmedcode,au_26785019
ACUTE SINUSITIS,conceptid,co_155498004
ACUTE SINUSITIS,conceptid,co_15805002
ACUTE SINUSITIS,conceptid,co_195649005
ACUTE SINUSITIS,ctv3,ct_Y02U0
ACUTE SINUSITIS,medcode,me_980
ACUTE SINUSITIS,readv2_5,re_H01..
ACUTE SINUSITIS,readv2_7,re_H01..00
ACUTE SINUSITIS NOS,aurmedcode,au_301015010
ACUTE SINUSITIS NOS,conceptid,co_195653007
ACUTE SINUSITIS NOS,conceptid,co_266378004
ACUTE SINUSITIS NOS,ctv3,ct_Y02U5
ACUTE SINUSITIS NOS,medcode,me_33664
ACUTE SINUSITIS NOS,readv2_5,re_H01z.
ACUTE SINUSITIS NOS,readv2_7,re_H01z.00
ACUTE SPHENOIDAL SINUSITIS,aurmedcode,au_129311019
ACUTE SPHENOIDAL SINUSITIS,conceptid,co_77919000
ACUTE SPHENOIDAL SINUSITIS,ctv3,ct_Y02UG
ACUTE SPHENOIDAL SINUSITIS,medcode,me_38816
ACUTE SPHENOIDAL SINUSITIS,readv2_5,re_H013.
ACUTE SPHENOIDAL SINUSITIS,readv2_7,re_H013.00
ANTRITIS - CHRONIC,aurmedcode,au_488111000006118
ANTRITIS - CHRONIC,conceptid,co_35923002
ANTRITIS - CHRONIC,ctv3,ct_YMK6M
ANTRITIS - CHRONIC,medcode,me_33437
ANTRITIS - CHRONIC,readv2_5,re_H130.
ANTRITIS - CHRONIC,readv2_7,re_H130.11
CHRONIC ANTRITIS,ctv3,ct_Y02UW
CHRONIC ETHMOIDAL SINUSITIS,aurmedcode,au_121629017
CHRONIC ETHMOIDAL SINUSITIS,conceptid,co_73237007
CHRONIC ETHMOIDAL SINUSITIS,ctv3,ct_Y02UX
CHRONIC ETHMOIDAL SINUSITIS,medcode,me_1674
CHRONIC ETHMOIDAL SINUSITIS,readv2_5,re_H132.
CHRONIC ETHMOIDAL SINUSITIS,readv2_7,re_H132.00
CHRONIC FRONTAL SINUSITIS,aurmedcode,au_99894013
CHRONIC FRONTAL SINUSITIS,conceptid,co_155527004
CHRONIC FRONTAL SINUSITIS,conceptid,co_195786002
CHRONIC FRONTAL SINUSITIS,conceptid,co_60130002
CHRONIC FRONTAL SINUSITIS,ctv3,ct_Y02Ue
CHRONIC FRONTAL SINUSITIS,medcode,me_15163
CHRONIC FRONTAL SINUSITIS,readv2_5,re_H131.
CHRONIC FRONTAL SINUSITIS,readv2_7,re_H131.00
CHRONIC MAXILLARY SINUSITIS,aurmedcode,au_59944016
CHRONIC MAXILLARY SINUSITIS,conceptid,co_155526008
CHRONIC MAXILLARY SINUSITIS,conceptid,co_195785003
CHRONIC MAXILLARY SINUSITIS,ctv3,ct_Y02UV
CHRONIC MAXILLARY SINUSITIS,medcode,me_4433
CHRONIC MAXILLARY SINUSITIS,readv2_7,re_H130.00
CHRONIC PANSINUSITIS,aurmedcode,au_147320013
CHRONIC PANSINUSITIS,conceptid,co_88850006
CHRONIC PANSINUSITIS,ctv3,ct_Y02Uh
CHRONIC PANSINUSITIS,medcode,me_39501
CHRONIC PANSINUSITIS,readv2_5,re_H13y0
CHRONIC PANSINUSITIS,readv2_7,re_H13y000
CHRONIC RHINOSINUSITIS,aurmedcode,au_1229598015
CHRONIC RHINOSINUSITIS,conceptid,co_40055000
CHRONIC RHINOSINUSITIS,ctv3,ct_Y02UN
CHRONIC RHINOSINUSITIS,medcode,me_10546
CHRONIC RHINOSINUSITIS,readv2_5,re_H13..
CHRONIC RHINOSINUSITIS,readv2_7,re_H13..11
CHRONIC SINUSITIS,aurmedcode,au_66718013
CHRONIC SINUSITIS,conceptid,co_155525007
CHRONIC SINUSITIS,ctv3,ct_Y02UM
CHRONIC SINUSITIS,medcode,me_2257
CHRONIC SINUSITIS,readv2_7,re_H13..00
CHRONIC SINUSITIS NOS,aurmedcode,au_301214019
CHRONIC SINUSITIS NOS,conceptid,co_195792008
CHRONIC SINUSITIS NOS,ctv3,ct_Y02UU
CHRONIC SINUSITIS NOS,medcode,me_5437
CHRONIC SINUSITIS NOS,readv2_5,re_H13z.
CHRONIC SINUSITIS NOS,readv2_7,re_H13z.00
FISTULA OF NASAL SINUS,aurmedcode,au_301209018
FISTULA OF NASAL SINUS,conceptid,co_195787006
FISTULA OF NASAL SINUS,ctv3,ct_YaY9f
FISTULA OF NASAL SINUS,medcode,me_29429
FISTULA OF NASAL SINUS,readv2_5,re_H134.
FISTULA OF NASAL SINUS,readv2_7,re_H134.00
FRONTAL SINUSITIS,aurmedcode,au_130650014
FRONTAL SINUSITIS,conceptid,co_275485006
FRONTAL SINUSITIS,conceptid,co_78737005
FRONTAL SINUSITIS,ctv3,ct_YM9iA
FRONTAL SINUSITIS,medcode,me_2984
FRONTAL SINUSITIS,readv2_7,re_H131.11
MAXILLARY SINUSITIS,aurmedcode,au_146480018
MAXILLARY SINUSITIS,conceptid,co_275484005
MAXILLARY SINUSITIS,conceptid,co_88348008
MAXILLARY SINUSITIS,ctv3,ct_YM9i9
MAXILLARY SINUSITIS,medcode,me_3624
MAXILLARY SINUSITIS,readv2_7,re_H130.12
OTHER ACUTE SINUSITIS,aurmedcode,au_301013015
OTHER ACUTE SINUSITIS,conceptid,co_195651009
OTHER ACUTE SINUSITIS,ctv3,ct_Y02U6
OTHER ACUTE SINUSITIS,medcode,me_29696
OTHER ACUTE SINUSITIS,readv2_5,re_H01y.
OTHER ACUTE SINUSITIS,readv2_7,re_H01y.00
OTHER ACUTE SINUSITIS NOS,aurmedcode,au_301014014
OTHER ACUTE SINUSITIS NOS,conceptid,co_195652002
OTHER ACUTE SINUSITIS NOS,ctv3,ct_Y02U8
OTHER ACUTE SINUSITIS NOS,medcode,me_60733
OTHER ACUTE SINUSITIS NOS,readv2_5,re_H01yz
OTHER ACUTE SINUSITIS NOS,readv2_7,re_H01yz00
OTHER CHRONIC SINUSITIS,aurmedcode,au_301211010
OTHER CHRONIC SINUSITIS,conceptid,co_195789009
OTHER CHRONIC SINUSITIS,ctv3,ct_Y02US
OTHER CHRONIC SINUSITIS,medcode,me_49548
OTHER CHRONIC SINUSITIS,readv2_5,re_H13y.
OTHER CHRONIC SINUSITIS,readv2_7,re_H13y.00
OTHER CHRONIC SINUSITIS NOS,aurmedcode,au_301213013
OTHER CHRONIC SINUSITIS NOS,conceptid,co_195791001
OTHER CHRONIC SINUSITIS NOS,ctv3,ct_Y02UT
OTHER CHRONIC SINUSITIS NOS,medcode,me_54375
OTHER CHRONIC SINUSITIS NOS,readv2_5,re_H13yz
OTHER CHRONIC SINUSITIS NOS,readv2_7,re_H13yz00
PANSINUSITIS,aurmedcode,au_301212015
PANSINUSITIS,conceptid,co_195790000
PANSINUSITIS,ctv3,ct_YMH4F
PANSINUSITIS,medcode,me_2233
PANSINUSITIS,readv2_5,re_H13y1
PANSINUSITIS,readv2_7,re_H13y100
RECURRENT SINUSITIS,aurmedcode,au_301210011
RECURRENT SINUSITIS,conceptid,co_195788001
RECURRENT SINUSITIS,ctv3,ct_YaY9g
RECURRENT SINUSITIS,medcode,me_17173
RECURRENT SINUSITIS,readv2_5,re_H135.
RECURRENT SINUSITIS,readv2_7,re_H135.00
SINUSITIS,aurmedcode,au_61668014
SINUSITIS,conceptid,co_275483004
SINUSITIS,conceptid,co_36971009
SINUSITIS,ctv3,ct_YM9i5
SINUSITIS,medcode,me_243
SINUSITIS,readv2_7,re_H01..11
[X]OTHER ACUTE SINUSITIS,aurmedcode,au_301801012
[X]OTHER ACUTE SINUSITIS,conceptid,co_196196007
[X]OTHER ACUTE SINUSITIS,conceptid,co_454211000000100
[X]OTHER ACUTE SINUSITIS,ctv3,ct_YMAIl
[X]OTHER ACUTE SINUSITIS,medcode,me_97330
[X]OTHER ACUTE SINUSITIS,readv2_5,re_Hyu00
[X]OTHER ACUTE SINUSITIS,readv2_7,re_Hyu0000
