readcode,medcode_desc,codegroup,frequency,hawkeslist,desc_class,codegroup_broad,medcode
F51..00,Nonsuppurative otitis media + eustachian tube disorders,Otitis media,104152,1,Nonsuppurative otitis media + eustachian tube disorders,Otitis media,5577
F510.00,Acute non suppurative otitis media,Otitis media,82173,1,Nonsuppurative otitis media + eustachian tube disorders,Otitis media,5887
F510000,Acute otitis media with effusion,Otitis media,1171,1,Nonsuppurative otitis media + eustachian tube disorders,Otitis media,18371
F510011,Acute secretory otitis media,Otitis media,2231,1,Nonsuppurative otitis media + eustachian tube disorders,Otitis media,5148
F510100,Acute serous otitis media,Otitis media,3797,1,Nonsuppurative otitis media + eustachian tube disorders,Otitis media,7730
F510200,Acute mucoid otitis media,Otitis media,49,1,Nonsuppurative otitis media + eustachian tube disorders,Otitis media,21012
F510300,Acute sanguinous otitis media,Otitis media,26,0,Nonsuppurative otitis media + eustachian tube disorders,Otitis media,15973
F510z00,Acute nonsuppurative otitis media NOS,Otitis media,1916,1,Nonsuppurative otitis media + eustachian tube disorders,Otitis media,20374
F511.00,"Chronic otitis media with effusion, serous",Otitis media,1298,0,Nonsuppurative otitis media + eustachian tube disorders,Otitis media,6559
F511.11,"Chronic secretory otitis media, serous",Otitis media,95,0,Nonsuppurative otitis media + eustachian tube disorders,Otitis media,24742
F511z00,Chronic serous otitis media NOS,Otitis media,54,0,Nonsuppurative otitis media + eustachian tube disorders,Otitis media,33661
F512.00,"Chronic otitis media with effusion, mucoid",Otitis media,177,0,Nonsuppurative otitis media + eustachian tube disorders,Otitis media,2686
F512.11,Glue ear,Otitis media,3249,0,Nonsuppurative otitis media + eustachian tube disorders,Otitis media,354
F512.12,"Chronic secretory otitis media, mucoid",Otitis media,2866,0,Nonsuppurative otitis media + eustachian tube disorders,Otitis media,1184
F512000,"Glue ear, unspecified",Otitis media,33,0,Nonsuppurative otitis media + eustachian tube disorders,Otitis media,5539
F512z00,Chronic mucoid otitis media NOS,Otitis media,9,0,Nonsuppurative otitis media + eustachian tube disorders,Otitis media,20578
F513.00,"Chronic otitis media with effusion, other",Otitis media,29,0,Nonsuppurative otitis media + eustachian tube disorders,Otitis media,34348
F513100,"Chronic otitis media with effusion, purulent",Otitis media,21,0,Nonsuppurative otitis media + eustachian tube disorders,Otitis media,25188
F513111,"Chronic secretory otitis media, purulent",Otitis media,13,0,Nonsuppurative otitis media + eustachian tube disorders,Otitis media,9993
