A37,Whooping cough
A38,Scarlet fever
A39,Meningococcal infection
A40,Streptococcal sepsis
A41,Other sepsis
A46,Erysipelas
A48,"Other bacterial diseases, not elsewhere classified"
A49,Bacterial infection of unspecified site
B95,"Streptococcus, Staphylococcus, and Enterococcus as the cause of diseases classified elsewhere"
B96,Other bacterial agents as the cause of diseases classified elsewhere
G00,"Bacterial meningitis, not elsewhere classified"
G01,Meningitis in bacterial diseases classified elsewhere
G04,"Encephalitis, myelitis and encephalomyelitis"
G05,"Encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere"
G06,Intracranial and intraspinal abscess and granuloma
G07,Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere
G08,Intracranial and intraspinal phlebitis and thrombophlebitis
H60,Otitis externa
H65,Nonsuppurative otitis media
H67,Otitis media in diseases classified elsewhere
H68,Eustachian salpingitis and obstruction
,
H70,Mastoiditis and related conditions
H71,Cholesteatoma of middle ear
I00,Rheumatic fever without mention of heart involvement
I01,Rheumatic fever with heart involvement
I02,Rheumatic chorea
I33,Acute and subacute endocarditis
I38,"Endocarditis, valve unspecified"
I39,Endocarditis and heart valve disorders in diseases classified elsewhere
J00,Acute nasopharyngitis [common cold]
J01,Acute sinusitis
J02,Acute pharyngitis
J03,Acute tonsillitis
J04,Acute laryngitis and tracheitis
J05,Acute obstructive laryngitis [croup] and epiglottitis
J06,Acute upper respiratory infections of multiple and unspecified sites
J13,Pneumonia due to Streptococcus pneumoniae
J14,Pneumonia due to Haemophilus influenzae
J15,"Bacterial pneumonia, not elsewhere classified"
J16,"Pneumonia due to other infectious organisms, not elsewhere classified"
J17,Pneumonia in diseases classified elsewhere
J18,"Pneumonia, organism unspecified"
J20,Acute bronchitis                                                                                                             
J21,Acute bronchiolitis                                                                                                     
J22,Unspecified acute lower respiratory infection                                                         
J36,Peritonsillar abscess                                                                                             
J40,"Bronchitis, not specified as acute or chronic                                                            "
J41,Simple and mucopurulent chronic bronchitis                                                         
J42,Unspecified chronic bronchitis                                                                                     
J85,Abscess of lung and mediastinum                                                                           
J86,Pyothorax                                                                                                          
K05,Gingivitis and periodontal diseases                                                                      
K35,Acute appendicitis                                                                                                         
K36,Other appendicitis                                                                                                  
K37,Unspecified appendicitis                                                                                          
K61,Abscess of anal and rectal regions                                                              
K81,Cholecystitis                                                                                                      
L00,Staphylococcal scalded skin syndrome                                                                    
L01,Impetigo                                                                                                             
L02,"Cutaneous abscess, furuncle and carbuncle                                                                 "
L03,Cellulitis                                                                                                           
L04,Acute lymphadenitis                                                                                        
L05,Pilonidal cyst and sinus
,                                                                                         
L08,Other local infections of skin and subcutaneous tissue                                 
M00,Pyogenic arthritis                                                                                        
M01,Direct infections of joint in infectious and parasitic diseases classified elsewhere                
M86,Osteomyelitis                                                                                             
N10,Acute pyelonephritis
N30,Cystitis                                                                                                     
N45,Orchitis and epididymitis                                                                       
N70,Salpingitis and oophoritis                                                              
N71,"Inflammatory disease of uterus, except cervix                                  "
N72,Inflammatory disease of cervix uteri                                                 
N73,Other female pelvic inflammatory diseases                                                     
N74,Female pelvic inflammatory disorders in diseases classified elsewhere                       
N75,Diseases of Bartholin's gland                                                                               
O23,Infections of genitourinary tract in pregnancy                                                   
O85,Puerperal sepsis                                                                                                             
O86,Other puerperal infections                                                                                               
O91,"Infections of breast associated with pregnancy, the puerperium and lactation"
O98,"Maternal infectious and parasitic diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium                                                   "
P23,Congenital pneumonia                                                                                               
P36,Bacterial sepsis of newborn
P37,Other congenital infectious and parasitic diseases
