"","dmd","name","bnf_code","type"
"1",932211000001108,"Augmentin 125/31 SF oral suspension (GlaxoSmithKline UK Ltd)","0501013K0BBAJAD","AMP"
"2",866111000001100,"Augmentin 250/62 SF oral suspension (GlaxoSmithKline UK Ltd)","0501013K0BBAKAG","AMP"
"3",94411000001100,"Augmentin 375mg tablets (GlaxoSmithKline UK Ltd)","0501013K0BBAAAA","AMP"
"4",292511000001103,"Augmentin 625mg tablets (GlaxoSmithKline UK Ltd)","0501013K0BBALAJ","AMP"
"5",169511000001107,"Augmentin-Duo 400/57 oral suspension (GlaxoSmithKline UK Ltd)","0501013K0BBAMAK","AMP"
"6",16751911000001104,"Avelox 400mg/250ml solution for infusion bottles (Bayer Plc)","0501120Y0BBABAB","AMP"
"7",4360711000001109,"Avelox 400mg tablets (Bayer Plc)","0501120Y0BBAAAA","AMP"
"8",10496311000001104,"Avelox I.V. 400mg/250ml infusion bags (Imported (United States))","0501120Y0BBACAC","AMP"
"9",7887711000001102,"Cefadroxil 500mg capsules (A A H Pharmaceuticals Ltd)","0501021B0AAAAAA","AMP"
"10",19712411000001100,"Cefadroxil 500mg capsules (DE Pharmaceuticals)","0501021B0AAAAAA","AMP"
"11",38825011000001112,"Cefadroxil 500mg capsules (Medihealth (Northern) Ltd)","0501021B0AAAAAA","AMP"
"12",17851711000001104,"Cefadroxil 500mg capsules (Phoenix Healthcare Distribution Ltd)","0501021B0AAAAAA","AMP"
"13",4814611000001109,"Cefadroxil 500mg capsules (Sandoz Ltd)","0501021B0AAAAAA","AMP"
"14",15073211000001108,"Cefadroxil 500mg capsules (Sigma Pharmaceuticals Plc)","0501021B0AAAAAA","AMP"
"15",639611000001104,"Cefalexin 125mg/5ml oral suspension (A A H Pharmaceuticals Ltd)","0501021L0AAACAC","AMP"
"16",534211000001106,"Cefalexin 125mg/5ml oral suspension (Alliance Healthcare (Distribution) Ltd)","0501021L0AAACAC","AMP"
"17",22631711000001108,"Cefalexin 125mg/5ml oral suspension (DE Pharmaceuticals)","0501021L0AAACAC","AMP"
"18",37510911000001104,"Cefalexin 125mg/5ml oral suspension (Flynn Pharma Ltd)","0501021L0AAACAC","AMP"
"19",38825611000001104,"Cefalexin 125mg/5ml oral suspension (Medihealth (Northern) Ltd)","0501021L0AAACAC","AMP"
"20",18086311000001108,"Cefalexin 125mg/5ml oral suspension (Phoenix Healthcare Distribution Ltd)","0501021L0AAACAC","AMP"
"21",15073911000001104,"Cefalexin 125mg/5ml oral suspension (Sigma Pharmaceuticals Plc)","0501021L0AAACAC","AMP"
"22",35210711000001104,"Cefalexin 125mg/5ml oral suspension sugar free (Alliance Healthcare (Distribution) Ltd)","0501021L0AAANAN","AMP"
"23",19188211000001104,"Cefalexin 125mg/5ml oral suspension sugar free (Milpharm Ltd)","0501021L0AAANAN","AMP"
"24",560011000001100,"Cefalexin 125mg/5ml oral suspension (Viatris UK Healthcare Ltd)","0501021L0AAACAC","AMP"
"25",800711000001101,"Cefalexin 250mg/5ml oral suspension (A A H Pharmaceuticals Ltd)","0501021L0AAADAD","AMP"
"26",158511000001109,"Cefalexin 250mg/5ml oral suspension (Alliance Healthcare (Distribution) Ltd)","0501021L0AAADAD","AMP"
"27",30136211000001104,"Cefalexin 250mg/5ml oral suspension (DE Pharmaceuticals)","0501021L0AAADAD","AMP"
"28",37510711000001104,"Cefalexin 250mg/5ml oral suspension (Flynn Pharma Ltd)","0501021L0AAADAD","AMP"
"29",38827711000001104,"Cefalexin 250mg/5ml oral suspension (Medihealth (Northern) Ltd)","0501021L0AAADAD","AMP"
"30",35210911000001108,"Cefalexin 250mg/5ml oral suspension sugar free (Alliance Healthcare (Distribution) Ltd)","0501021L0AAAPAP","AMP"
"31",19188411000001104,"Cefalexin 250mg/5ml oral suspension sugar free (Milpharm Ltd)","0501021L0AAAPAP","AMP"
"32",716611000001106,"Cefalexin 250mg capsules (A A H Pharmaceuticals Ltd)","0501021L0AAAAAA","AMP"
"33",606011000001105,"Cefalexin 250mg capsules (Alliance Healthcare (Distribution) Ltd)","0501021L0AAAAAA","AMP"
"34",22631111000001108,"Cefalexin 250mg capsules (DE Pharmaceuticals)","0501021L0AAAAAA","AMP"
"35",37509711000001112,"Cefalexin 250mg capsules (Flynn Pharma Ltd)","0501021L0AAAAAA","AMP"
"36",38826011000001104,"Cefalexin 250mg capsules (Medihealth (Northern) Ltd)","0501021L0AAAAAA","AMP"
"37",19187811000001108,"Cefalexin 250mg capsules (Milpharm Ltd)","0501021L0AAAAAA","AMP"
"38",17851911000001102,"Cefalexin 250mg capsules (Phoenix Healthcare Distribution Ltd)","0501021L0AAAAAA","AMP"
"39",29782311000001108,"Cefalexin 250mg capsules (Sigma Pharmaceuticals Plc)","0501021L0AAAAAA","AMP"
"40",719911000001109,"Cefalexin 250mg tablets (A A H Pharmaceuticals Ltd)","0501021L0AAAGAG","AMP"
"41",600911000001106,"Cefalexin 250mg tablets (Alliance Healthcare (Distribution) Ltd)","0501021L0AAAGAG","AMP"
"42",37510511000001112,"Cefalexin 250mg tablets (Flynn Pharma Ltd)","0501021L0AAAGAG","AMP"
"43",39845511000001104,"Cefalexin 250mg tablets (Medihealth (Northern) Ltd)","0501021L0AAAGAG","AMP"
"44",17852311000001108,"Cefalexin 250mg tablets (Phoenix Healthcare Distribution Ltd)","0501021L0AAAGAG","AMP"
"45",15052511000001100,"Cefalexin 250mg tablets (Sigma Pharmaceuticals Plc)","0501021L0AAAGAG","AMP"
"46",427011000001102,"Cefalexin 250mg tablets (Viatris UK Healthcare Ltd)","0501021L0AAAGAG","AMP"
"47",660211000001101,"Cefalexin 500mg capsules (A A H Pharmaceuticals Ltd)","0501021L0AAABAB","AMP"
"48",324911000001101,"Cefalexin 500mg capsules (Alliance Healthcare (Distribution) Ltd)","0501021L0AAABAB","AMP"
"49",22631511000001104,"Cefalexin 500mg capsules (DE Pharmaceuticals)","0501021L0AAABAB","AMP"
"50",37510111000001104,"Cefalexin 500mg capsules (Flynn Pharma Ltd)","0501021L0AAABAB","AMP"
"51",38826411000001112,"Cefalexin 500mg capsules (Medihealth (Northern) Ltd)","0501021L0AAABAB","AMP"
"52",19188011000001100,"Cefalexin 500mg capsules (Milpharm Ltd)","0501021L0AAABAB","AMP"
"53",17852111000001104,"Cefalexin 500mg capsules (Phoenix Healthcare Distribution Ltd)","0501021L0AAABAB","AMP"
