id,name,active,notes
25261000000107,DNA - Did not attend smoking cessation clinic (finding),y,direct mapping
401068004,Seen by smoking cessation advisor (finding),y,direct mapping
395177003,Smoking free weeks (observable entity),y,direct mapping
390901002,Negotiated date for cessation of smoking (observable entity),y,direct mapping
8517006,Ex-smoker (finding),y,direct mapping
160616005,Trying to give up smoking (finding),y,direct mapping
315232003,Referral to stop-smoking clinic (procedure),y,direct mapping
966991000000104,Varenicline smoking cessation therapy offered (situation),y,direct mapping
185794006,Stop smoking monitoring third letter (procedure),y,direct mapping
185795007,Stop smoking monitoring verbal invite (procedure),y,direct mapping
171055003,Pregnancy smoking education (procedure),y,direct mapping
280801000000101,Nicotine replacement therapy using nicotine gum (procedure),y,direct mapping
390904005,Smoking status at 52 weeks (observable entity),y,direct mapping
767641000000109,Referral for smoking cessation service offered (finding),y,direct mapping
712971000000108,Practice based smoking cessation programme start date (observable entity),y,direct mapping
871641000000105,Referral to smoking cessation service declined (situation),y,direct mapping
201941000000100,Attends smoking cessation clinic not at practice (finding),y,direct mapping
185799001,Stop smoking monitoring check done (finding),y,direct mapping
228487000,Total time smoked (observable entity),y,direct mapping
783441000000103,Stop smoking invitation second short message service text message (procedure),y,direct mapping
374361000000100,Smoking cessation - enhanced services administration (procedure),y,direct mapping
506491000000102,Brief intervention for smoking cessation (procedure),y,direct mapping
160612007,Keeps trying to stop smoking (finding),y,direct mapping
310429001,Smoking monitoring invitation (procedure),y,direct mapping
230056004,Cigarette consumption (observable entity),y,direct mapping
783401000000101,Stop smoking invitation first short message service text message (procedure),y,direct mapping
266918002,Tobacco smoking consumption (observable entity),y,direct mapping
225323000,Smoking cessation education (procedure),y,direct mapping
717771000000108,Excepted from smoking quality indicators - informed dissent (finding),y,direct mapping
822591000000108,Smoking cessation drug therapy declined (situation),y,direct mapping
716391000000109,Excepted from smoking quality indicators - patient unsuitable (finding),y,direct mapping
783011000000105,Stop smoking service opportunity signposted (situation),y,direct mapping
225324006,Smoking effects education (procedure),y,direct mapping
871661000000106,Referral to smoking cessation service (procedure),y,direct mapping
308512009,Smoking monitoring status (finding),y,direct mapping
790131000000109,Nicotine replacement therapy using nicotine lozenge (procedure),y,direct mapping
200221000000105,Smoking cessation advice provided by community pharmacist (situation),y,direct mapping
527151000000107,Smoking cessation advice declined (situation),y,direct mapping
94151000119101,Smoker in household (situation),y,direct mapping
395700008,Referral to smoking cessation advisor (procedure),y,direct mapping
230057008,Cigar consumption (observable entity),y,direct mapping
390903004,Smoking status between 4 and 52 weeks (observable entity),y,direct mapping
864091000000103,Number of previous attempts to stop smoking (observable entity),y,direct mapping
755721000000107,Consent given for follow-up by smoking cessation team (finding),y,direct mapping
